,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,improve-tech-15,improve-ur-15,improve-vis-15,improve-novel-15,improve-total-15,improve-tech-45,improve-ur-45,improve-vis-45,improve-novel-45,improve-total-45
10,3.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,4.0,2.0,62.5,-20.0,12.5,62.5,117.5,25.0,0.0,4.170000000000002,0.0,29.169999999999987
11,2.0,5.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,1.0,5.0,3.0,4.0,3.0,3.0,6.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,75.0,20.0,33.33,52.5,180.83,12.5,0.0,-4.170000000000002,-3.75,4.5800000000000125
12,3.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,0.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,50.0,100.0,62.5,66.67,279.17,12.5,100.0,29.17,41.67,183.34000000000003
13,3.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,0.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,1.0,6.0,5.0,6.0,3.0,3.0,4.0,3.0,6.0,3.0,1.0,25.0,0.0,29.17,0.0,54.17,0.0,-20.0,4.170000000000002,0.0,-15.829999999999998
14,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,4.0,2.0,-25.0,0.0,0.0,-37.5,-62.5,0.0,0.0,0.0,0.0,0.0
15,4.0,3.0,6.0,4.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,5.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,5.0,2.0,2.0,5.0,3.0,6.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,-12.5,40.0,16.67,37.5,81.67000000000002,-12.5,60.0,8.340000000000003,4.170000000000002,60.00000000000003
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,-12.5,0.0,12.5,0.0,0.0,0.0,0.0,37.5,25.0,62.5
17,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,6.0,4.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,25.0,0.0,25.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0
18,5.0,4.0,6.0,3.0,5.0,3.0,6.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,50.0,0.0,0.0,75.0,124.99999999999999,0.0,-40.0,-4.159999999999997,0.0,-44.160000000000025
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,4.159999999999997,0.0,-8.340000000000003,0.0,-40.0,-16.67,0.0,-56.67
20,4.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,12.5,60.0,25.0,12.5,110.0,0.0,0.0,-16.67,12.5,-4.170000000000016
21,1.0,4.0,6.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,12.5,0.0,8.329999999999998,0.0,20.83,12.5,0.0,0.0,0.0,12.5
22,2.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,-37.5,-60.0,0.0,-50.0,-147.49999999999997,12.5,0.0,4.159999999999997,25.0,41.66000000000001
23,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,37.5,60.0,0.0,75.0,172.5,0.0,60.0,-8.340000000000003,-4.170000000000002,47.49999999999997
24,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,75.0,60.0,20.83,37.5,193.32999999999998,12.5,0.0,4.170000000000002,-37.5,-20.830000000000013
25,4.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,6.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,37.5,40.0,66.67,25.0,169.17,0.0,40.0,41.67,0.0,81.66999999999999
26,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,6.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,37.5,0.0,0.0,62.5,100.00000000000001,0.0,0.0,0.0,0.0,0.0
27,0.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,5.0,0.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,40.0,20.840000000000003,75.0,148.34000000000003,12.5,0.0,0.0,0.0,12.500000000000028
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,20.0,29.17,0.0,111.67,12.5,0.0,0.0,0.0,12.5
29,3.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,5.0,0.0,3.0,0.0,5.0,5.0,6.0,2.0,25.0,80.0,66.67,106.25,277.92,12.5,60.0,16.67,56.25,145.42000000000002
30,0.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,6.0,2.0,4.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,6.0,3.0,5.0,1.0,3.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,4.0,3.0,2.0,50.0,80.0,33.33,75.0,213.32999999999998,25.0,20.0,0.0,-12.5,7.5
31,3.0,3.0,3.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,50.0,20.0,29.17,58.33,157.5,25.0,0.0,0.0,58.33,83.33
32,3.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,6.0,5.0,2.0,5.0,2.0,5.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,6.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,3.0,5.0,6.0,4.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,-62.5,0.0,0.0,0.0,-62.5,0.0,0.0,0.0,0.0,0.0
34,4.0,3.0,4.0,3.0,4.0,2.0,6.0,5.0,3.0,3.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,1.0,5.0,3.0,2.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,3.0,5.0,6.0,2.0,6.0,4.0,5.0,6.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0
37,0.0,2.0,6.0,0.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,2.0,2.0,4.0,5.0,0.0,1.0,0.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,0.0,0.0,-25.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0
39,1.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,20.0,12.5,-37.5,-5.0,0.0,0.0,4.170000000000002,25.0,29.169999999999987
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,12.5
41,3.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,3.0,5.0,5.0,2.0,50.0,40.0,29.17,62.5,181.67,12.5,20.0,0.0,0.0,32.5
42,0.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,-25.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,4.0,1.0,6.0,4.0,2.0,3.0,1.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,1.0,37.5,20.0,25.0,25.0,107.5,0.0,0.0,-25.0,25.0,0.0
44,3.0,5.0,3.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0,1.0,5.0,6.0,6.0,4.0,6.0,6.0,2.0,5.0,4.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,37.5,-20.0,0.0,0.0,17.5,25.0,-20.0,-4.170000000000002,0.0,0.8299999999999983
45,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-50.0,25.0,-125.0
46,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,25.0,-20.0,-20.840000000000003,-12.5,-28.340000000000003,0.0,-20.0,-16.67,-12.5,-49.16999999999999
47,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,6.0,5.0,5.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,5.0,1.0,4.0,6.0,5.0,3.0,12.5,20.0,8.340000000000003,12.5,53.34000000000003,12.5,20.0,0.0,9.370000000000005,41.879999999999995
48,5.0,5.0,6.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,6.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,0.0,3.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,25.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
49,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,1.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,50.0,40.0,29.17,7.5,126.66999999999999,12.5,0.0,8.329999999999998,-13.329999999999998,7.5
50,6.0,6.0,0.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,3.0,5.0,5.0,2.0,-37.5,0.0,-8.340000000000003,0.0,-45.84000000000003,-75.0,40.0,41.66,12.5,19.159999999999968
51,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,37.5,0.0,0.0,62.5,100.00000000000001,-12.5,0.0,0.0,0.0,-12.5
52,4.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,1.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,0.0,40.0,4.170000000000002,22.5,66.67000000000002,0.0,40.0,-8.329999999999998,-22.5,9.170000000000016
53,3.0,5.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,3.0,5.0,6.0,4.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,3.0,3.0,3.0,6.0,5.0,3.0,0.0,60.0,29.17,7.5,96.66999999999999,25.0,0.0,-8.329999999999998,-5.0,11.670000000000016
54,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,6.0,5.0,3.0,0.0,60.0,29.17,7.5,96.66999999999999,25.0,0.0,-8.329999999999998,-5.0,11.670000000000016
55,6.0,4.0,6.0,1.0,3.0,6.0,5.0,3.0,3.0,6.0,5.0,6.0,6.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,1.0,5.0,4.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,62.5,0.0,-4.170000000000002,7.5,65.83000000000001,12.5,0.0,0.0,70.0,82.50000000000001
56,2.0,5.0,5.0,0.0,3.0,5.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,75.0,60.0,50.0,-12.5,172.5,0.0,40.0,37.5,25.0,102.50000000000003
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0,1.0,4.0,3.0,1.0,5.0,0.0,4.0,1.0,4.0,5.0,6.0,2.0,37.5,0.0,0.0,66.67,104.16999999999999,0.0,20.0,8.329999999999998,16.67,45.0
58,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,6.0,4.0,6.0,6.0,6.0,3.0,3.0,4.0,4.0,6.0,6.0,0.0,62.5,0.0,4.159999999999997,56.25,122.91000000000001,0.0,0.0,0.0,-6.25,-6.25
59,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,0.0,2.0,5.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,25.0,60.0,33.33,85.0,203.32999999999998,12.5,0.0,4.159999999999997,5.0,21.659999999999968
60,0.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,0.0,4.0,4.0,5.0,2.0,75.0,100.0,50.0,87.5,312.5,0.0,60.0,0.0,87.5,147.5
61,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,-37.5,0.0,12.5,0.0,-25.0,-25.0,0.0,12.5,0.0,-12.5
62,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
63,4.0,4.0,5.0,1.0,2.0,3.0,6.0,3.0,4.0,3.0,1.0,3.0,5.0,2.0,5.0,5.0,6.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,2.0,37.5,0.0,12.5,-12.5,37.5,12.5,-20.0,0.0,-25.0,-32.5
64,2.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,62.5,0.0,0.0,-25.0,37.5,25.0,0.0,25.0,0.0,50.0
65,4.0,5.0,6.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,3.0,5.0,4.0,0.0,6.0,5.0,1.0,6.0,3.0,6.0,0.0,3.0,0.0,3.0,6.0,6.0,3.0,50.0,0.0,29.17,37.5,116.66999999999999,0.0,-40.0,0.0,16.67,-23.330000000000013
66,4.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,4.0,6.0,0.0,1.0,0.0,3.0,5.0,6.0,2.0,37.5,80.0,37.5,75.0,230.0,12.5,-20.0,-12.5,25.0,5.0
67,3.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,6.0,3.0,6.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,25.0,0.0,-25.0,75.0,75.0,0.0,0.0,-8.329999999999998,0.0,-8.330000000000013
68,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,-37.5,0.0,8.329999999999998,-12.5,-41.67,0.0,0.0,4.159999999999997,0.0,4.159999999999997
