,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,improve-tech-15,improve-ur-15,improve-vis-15,improve-novel-15,improve-total-15,improve-tech-45,improve-ur-45,improve-vis-45,improve-novel-45,improve-total-45,Q17,Q18,Q10,Q11,Q12,Q13,Q14,Q24
20,4,1,4,3,3,4,5,4,5,4,2,4,4,4,4,4,4,4,4,3,5,5,4,4,3,3,4,4,1,3,1,1,3,4,2,12.5,60,25,12.5,110,0,0,-16.67,12.5,-4.17,Male,Hispanic/Latino,Below Average,1,2,3,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
21,1,4,6,2,2,3,5,3,5,5,4,3,4,4,5,5,5,5,4,4,4,3,5,2,2,4,3,4,1,3,1,1,5,5,2,12.5,0,8.33,0,20.83,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,3,0,8,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
22,2,5,4,4,5,4,5,5,5,5,6,6,3,3,4,5,5,3,4,3,5,5,5,3,1,4,1,5,1,2,1,3,2,2,2,-37.5,-60,0,-50,-147.5,12.5,0,4.16,25,41.66,Male,Hispanic/Latino,Average,0,0,0,2,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
23,4,5,5,4,4,5,5,5,5,5,5,5,4,5,6,6,6,6,6,5,6,5,6,5,5,5,5,6,3,3,3,5,5,5,3,37.5,60,0,75,172.5,0,60,-8.34,-4.17,47.5,Female,Hispanic/Latino,Below Average,2,1,5,2,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
24,4,5,6,5,5,5,6,6,6,6,5,6,4,6,5,4,6,5,5,5,5,6,5,4,6,5,5,5,3,5,5,5,5,5,2,75,60,20.83,37.5,193.33,12.5,0,4.17,-37.5,-20.83,Male,Hispanic/Latino,Average,1,0,0,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
25,4,6,5,3,5,6,6,5,5,4,3,3,5,2,5,6,6,5,5,3,5,4,6,4,1,2,2,3,0,1,1,4,4,3,1,37.5,40,66.67,25,169.17,0,40,41.67,0,81.67,Male,Prefer not to respond,Below Average,4,2,2,1,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
26,4,5,4,4,4,5,6,6,5,5,2,4,6,4,4,5,4,5,5,4,5,3,5,3,4,3,4,6,2,4,2,2,5,5,2,37.5,0,0,62.5,100,0,0,0,0,0,Male,Hispanic/Latino,Below Average,0,0,0,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
27,0,4,0,0,0,4,5,4,3,5,0,4,6,3,3,3,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12.5,40,20.84,75,148.34,12.5,0,0,0,12.5,Male,Hispanic/Latino,Top 10,0,0,1,5,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,20,29.17,0,111.67,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,1,1,10,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
29,3,3,3,0,2,1,3,2,2,4,2,3,5,4,4,5,4,2,3,1,4,4,4,5,1,5,2,5,0,3,0,5,5,6,2,25,80,66.67,106.25,277.92,12.5,60,16.67,56.25,145.42,Male,Hispanic/Latino,Average,0,1,1,8,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
30,0,3,5,3,4,3,5,4,4,6,2,4,1,2,4,5,4,4,1,1,6,3,5,1,3,2,0,4,0,3,0,2,4,3,2,50,80,33.33,75,213.33,25,20,0,-12.5,7.5,Male,Hispanic/Latino,Top 10,5,0,5,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
31,3,3,3,3,5,3,6,6,6,6,3,3,5,3,3,2,2,3,6,6,6,6,6,2,0,5,0,4,0,0,0,0,5,5,2,50,20,29.17,58.33,157.5,25,0,0,58.33,83.33,Male,Hispanic/Latino,Below Average,0,0,10,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
32,3,6,6,4,5,5,6,6,5,5,5,5,6,4,5,5,4,6,5,4,5,5,6,5,2,5,2,5,1,0,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Top 10,15,0,1,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
33,4,3,5,2,5,3,5,4,6,4,2,6,5,5,5,5,4,6,6,3,5,6,4,4,2,4,2,5,1,1,1,1,5,3,2,-62.5,0,0,0,-62.5,0,0,0,0,0,Male,Hispanic/Latino,Top 10,15,0,1,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
34,4,3,4,3,4,2,6,5,3,3,0,6,5,5,6,6,6,6,3,5,1,5,3,2,1,5,2,6,0,0,1,1,4,4,2,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Below Average,0,0,1,10,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
35,1,3,2,4,4,4,3,2,4,4,2,4,5,5,5,5,5,4,4,5,4,3,5,3,2,4,2,3,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Average,2,0,0,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
36,0,6,6,6,6,6,6,6,4,6,3,5,6,2,6,4,5,6,1,3,3,0,4,0,0,2,2,5,3,3,3,3,4,4,0,-12.5,0,0,0,-12.5,0,0,0,0,0,Male,Hispanic/Latino,Average,1,0,0,4,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
37,0,2,6,0,4,5,4,5,4,5,1,5,4,4,6,4,6,4,6,5,6,5,6,5,2,2,4,5,0,1,0,4,5,3,2,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Top 3,3,1,39,10,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
38,3,5,6,5,5,3,6,5,4,4,5,4,6,6,5,5,6,6,5,5,5,5,5,5,5,6,6,6,4,4,4,4,5,5,2,0,0,-25,0,-25,0,0,0,0,0,Male,Hispanic/Latino,Below Average,0,1,2,8,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
39,1,4,6,5,5,4,6,6,6,5,5,4,5,6,6,5,6,5,6,4,5,5,6,6,4,5,5,5,3,4,4,4,5,5,4,0,20,12.5,-37.5,-5,0,0,4.17,25,29.17,Male,Hispanic/Latino,Below Average,0,0,0,1,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,12.5,0,0,0,12.5,Male,Hispanic/Latino,Average,0,0,0,0,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
41,3,4,4,3,4,5,5,6,4,5,2,4,5,2,5,3,4,5,3,2,5,5,4,1,0,2,0,5,0,2,0,3,5,5,2,50,40,29.17,62.5,181.67,12.5,20,0,0,32.5,Female,Prefer not to respond,Average,0,0,30,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
42,0,4,4,4,4,5,4,5,4,4,5,4,5,3,3,3,3,3,3,3,4,3,4,3,1,3,1,5,0,1,0,3,3,3,1,-25,0,0,0,-25,0,0,0,0,0,Male,Hispanic/Latino,bottom of the class,0,0,0,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
43,0,0,0,0,0,0,5,2,0,5,4,1,6,4,2,3,1,6,6,5,6,6,6,6,1,4,4,4,4,1,3,4,5,4,1,37.5,20,25,25,107.5,0,0,-25,25,0,Male,Hispanic/Latino,Average,0,0,0,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
44,3,5,3,4,4,4,6,6,5,5,4,5,1,5,6,6,4,6,6,2,5,4,5,5,6,4,6,5,5,4,5,5,6,5,4,37.5,-20,0,0,17.5,25,-20,-4.17,0,0.83,Male,Hispanic/Latino,Average,3,3,0,4,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
45,5,5,6,4,5,5,6,5,5,5,5,4,5,4,5,5,6,4,5,4,5,5,5,4,3,4,5,5,1,2,1,1,4,4,3,0,0,0,0,0,0,-100,-50,25,-125,Male,Hispanic/Latino,Average,3,0,5,10,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
46,3,4,4,5,3,4,5,4,4,5,5,4,3,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5,4,4,4,5,5,4,3,25,-20,-20.84,-12.5,-28.34,0,-20,-16.67,-12.5,-49.17,Male,Hispanic/Latino,Top 3,15,3,4,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
47,1,3,3,2,2,3,2,4,2,3,2,3,6,5,5,2,3,3,1,2,2,3,2,0,1,3,0,4,0,5,1,4,6,5,3,12.5,20,8.34,12.5,53.34,12.5,20,0,9.37,41.88,Male,Hispanic/Latino,Below Average,0,0,6,4,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
48,5,5,6,3,6,5,5,5,5,5,2,5,5,5,2,6,2,5,6,6,6,6,6,0,3,5,4,5,1,1,1,2,3,5,2,25,0,25,0,50,0,0,0,0,0,Female,Hispanic/Latino,Average,0,0,40,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
49,0,5,5,5,5,5,5,5,5,6,5,6,1,5,5,5,6,6,5,5,5,4,6,4,4,3,3,3,4,4,4,4,5,5,3,50,40,29.17,7.5,126.67,12.5,0,8.33,-13.33,7.5,Male,Hispanic/Latino,Below Average,0,0,5,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
50,6,6,0,6,6,6,3,6,6,6,4,6,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,0,2,0,3,5,5,2,-37.5,0,-8.34,0,-45.84,-75,40,41.66,12.5,19.16,Male,Hispanic/Latino,Top 3,1,0,0,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
51,1,4,5,5,5,4,5,5,5,5,5,4,6,4,3,3,4,4,3,5,3,4,3,5,3,5,4,5,4,3,4,3,4,4,2,37.5,0,0,62.5,100,-12.5,0,0,0,-12.5,Female,Hispanic/Latino,Average,10,0,60,0,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
52,4,6,6,4,6,5,6,6,6,6,2,6,1,5,6,6,6,6,4,4,4,5,6,5,4,6,6,6,4,4,5,5,6,5,4,0,40,4.17,22.5,66.67,0,40,-8.33,-22.5,9.17,Male,Hispanic/Latino,Average,0,0,6,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
53,3,5,6,4,4,5,6,4,5,5,5,6,3,5,6,4,6,5,4,4,5,4,5,5,4,5,6,6,4,3,3,3,6,5,3,0,60,29.17,7.5,96.67,25,0,-8.33,-5,11.67,Male,Hispanic/Latino,Average,0,0,5,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
54,2,5,5,4,4,5,5,5,5,3,6,5,3,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,6,5,3,0,60,29.17,7.5,96.67,25,0,-8.33,-5,11.67,Male,Hispanic/Latino,bottom of the class,1,1,1,1,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
55,6,4,6,1,3,6,5,3,3,6,5,6,6,0,5,5,5,5,3,5,5,1,5,1,5,4,1,4,0,1,0,4,0,0,1,62.5,0,-4.17,7.5,65.83,12.5,0,0,70,82.5,Male,Hispanic/Latino,Average,0,0,0,1,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
56,2,5,5,0,3,5,6,5,4,5,3,3,4,4,5,5,5,4,5,3,5,5,5,2,0,5,0,5,0,0,0,0,5,5,2,75,60,50,-12.5,172.5,0,40,37.5,25,102.5,Male,Hispanic/Latino,Below Average,5,5,4,4,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
57,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,3,5,4,5,2,2,5,5,1,4,3,1,5,0,4,1,4,5,6,2,37.5,0,0,66.67,104.17,0,20,8.33,16.67,45,Male,Prefer not to respond,Below Average,0,5,1,5,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
58,5,3,5,3,3,4,4,4,4,4,3,3,6,5,5,5,5,5,3,3,3,3,4,6,4,6,6,6,3,3,4,4,6,6,0,62.5,0,4.16,56.25,122.91,0,0,0,-6.25,-6.25,Male,Hispanic/Latino,Below Average,0,0,0,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
59,3,4,4,1,4,4,4,3,3,2,0,2,5,1,4,2,2,3,3,4,2,1,3,0,0,3,0,4,0,0,0,0,4,3,1,25,60,33.33,85,203.33,12.5,0,4.16,5,21.66,Male,Hispanic/Latino,Average,0,0,7,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
60,0,2,3,2,2,4,5,5,4,5,1,1,3,3,4,4,4,4,5,5,5,5,5,3,3,4,3,4,1,4,0,4,4,5,2,75,100,50,87.5,312.5,0,60,0,87.5,147.5,Male,Hispanic/Latino,Below Average,0,0,10,3,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
61,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,-37.5,0,12.5,0,-25,-25,0,12.5,0,-12.5,Male,Hispanic/Latino,Top 10,0,0,8,4,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,50,0,0,0,50,0,0,0,0,0,Male,Hispanic/Latino,Average,6,2,10,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
63,4,4,5,1,2,3,6,3,4,3,1,3,5,2,5,5,6,5,2,1,2,2,1,2,0,4,0,3,0,1,0,1,3,4,2,37.5,0,12.5,-12.5,37.5,12.5,-20,0,-25,-32.5,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
64,2,4,3,3,3,4,5,3,4,4,3,4,1,3,3,4,5,4,2,3,4,5,5,4,2,5,1,5,1,1,1,3,5,4,2,62.5,0,0,-25,37.5,25,0,25,0,50,Male,Hispanic/Latino,bottom of the class,0,0,0,4,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
65,4,5,6,3,5,5,6,6,6,6,3,5,3,6,5,5,5,6,3,5,4,0,6,5,1,6,3,6,0,3,0,3,6,6,3,50,0,29.17,37.5,116.67,0,-40,0,16.67,-23.33,Male,Hispanic/Latino,Below Average,0,0,6,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
66,4,6,5,4,5,5,6,6,5,5,5,4,4,4,5,5,6,4,5,5,5,4,6,5,4,5,4,6,0,1,0,3,5,6,2,37.5,80,37.5,75,230,12.5,-20,-12.5,25,5,Male,Hispanic/Latino,Average,0,0,0,4,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
67,3,6,6,6,6,6,5,4,5,6,5,5,3,6,5,5,5,5,3,3,4,3,4,5,5,6,3,6,2,3,2,4,4,5,4,25,0,-25,75,75,0,0,-8.33,0,-8.33,Male,Prefer not to respond,Top 10,0,0,0,3,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays"
68,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,-37.5,0,8.33,-12.5,-41.67,0,0,4.16,0,4.16,Male,Hispanic/Latino,Average,0,0,0,3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
69,3,2,6,2,2,2,6,5,3,6,4,6,6,6,5,5,5,4,4,2,4,3,4,3,2,5,3,6,0,2,1,2,5,5,2,87.5,20,0,12.5,120,12.5,20,4.17,2.5,39.17,Male,Hispanic/Latino,Average,0,0,0,1,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
70,2,2,2,2,2,2,3,4,3,2,2,3,5,2,3,2,3,3,4,4,4,4,4,2,0,0,0,2,0,0,0,0,3,3,1,50,0,25,62.5,137.5,25,0,16.67,62.5,104.17,Male,Hispanic/Latino,Average,6,2,0,5,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays"
71,3,6,3,1,6,3,6,5,3,5,6,3,5,5,5,5,5,5,6,6,6,4,4,4,5,3,3,5,1,0,1,0,2,4,4,12.5,0,0,0,12.5,-25,0,0,0,-25,Male,Hispanic/Latino,Top 10,8,3,4,2,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
72,3,6,6,6,6,4,6,5,6,5,5,6,3,5,5,6,5,6,5,4,5,5,5,4,5,5,5,5,4,4,3,3,5,5,2,12.5,20,33.33,25,90.83,0,20,20.83,-8.33,32.5,Male,Hispanic/Latino,Below Average,0,0,0,0,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
73,3,3,3,3,3,4,6,4,4,5,3,4,5,5,5,3,5,5,4,4,5,4,3,3,3,5,4,5,1,3,1,3,4,3,2,50,60,45.84,72.5,228.34,12.5,20,20.84,-2.5,50.84,Male,Hispanic/Latino,Average,0,0,0,2,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
74,0,5,3,1,3,3,6,6,5,6,5,4,4,4,5,4,3,4,5,3,3,3,3,2,3,4,4,6,2,2,2,2,6,5,2,25,100,41.67,32.5,199.17,0,0,-8.33,26.25,17.92,Male,Hispanic/Latino,Top 10,1,0,8,1,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
75,4,3,4,4,2,3,4,4,4,3,4,3,5,3,4,4,5,5,2,3,2,3,4,1,0,5,0,5,0,0,0,0,5,5,2,0,20,8.33,81.25,109.58,0,20,4.17,6.25,30.42,Female,Multiracial,Average,0,0,0,1,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays"
76,1,1,3,2,5,5,6,5,4,5,3,5,5,5,4,6,4,6,3,5,4,4,5,2,2,4,2,4,1,1,2,3,0,1,0,12.5,20,16.67,-37.5,11.67,12.5,0,16.67,0,29.17,Male,Hispanic/Latino,Average,2,0,0,1,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
77,4,4,4,3,3,5,4,4,5,6,1,5,6,2,5,5,3,4,3,4,2,4,3,2,3,2,3,4,1,2,1,3,5,4,2,0,0,0,0,0,0,0,0,0,0,Male,Hispanic/Latino,Below Average,0,0,0,3,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)"
