Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14,Student,Q24,Q17,Q18,Q9
0,2,6,0,4,5,4,5,4,5,1,5,4,4,6,4,6,4,6,5,6,5,6,5,2,2,4,5,0,1,0,4,5,3,2,2,2,2,3,yocuervoc,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,1,3,2,5,5,6,5,4,5,3,5,5,5,4,6,4,6,3,5,4,4,5,2,2,4,2,4,1,1,2,3,0,1,0,0,0,3,6,joahernandezca,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,6,6,5,4,4,6,6,3,6,3,4,6,5,6,6,6,4,5,4,6,5,5,5,3,6,3,6,1,3,0,4,5,5,2,0,0,0,7,crarojasca,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
2,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,2,3,3,2,4,1,3,2,3,3,2,2,0,0,4,5,juclopezso,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,3,5,2,2,3,5,4,1,2,2,1,4,3,3,6,5,6,2,3,2,3,4,4,1,3,3,4,2,1,1,1,3,3,2,0,0,6,3,mnguzmanc,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Multiracial,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,5,4,5,5,6,6,5,5,5,4,4,4,5,5,6,4,5,5,5,4,6,5,4,5,4,6,0,1,0,3,5,6,2,0,0,0,3,diegoaguevarar,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,White,Yes
3,5,4,1,4,0,6,5,5,3,1,3,6,6,5,5,5,5,4,5,5,4,1,4,4,5,1,5,1,5,0,4,6,6,1,0,0,6,3,kmendezp96,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
3,4,4,3,4,4,5,5,4,4,3,4,4,5,5,5,5,5,5,3,5,4,5,5,3,4,3,5,1,1,1,1,5,5,2,0,0,0,5,jumcorredorro,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,3,0,2,1,3,2,2,4,2,3,5,4,4,5,4,2,3,1,4,4,4,5,1,5,2,5,0,3,0,5,5,6,2,0,0,15,3,lfvalderrama,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
3,4,5,3,5,3,6,4,5,5,3,5,4,4,5,5,5,5,3,4,3,4,4,3,1,2,1,4,1,1,0,1,3,3,2,0,0,5,4,JairVillalba,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,6,5,5,5,6,6,4,6,5,4,6,3,3,3,3,3,5,5,5,5,6,0,0,4,0,5,0,3,0,0,2,2,2,0,0,0,0,jjmuesesq,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Not Listed (please specify),"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,6,3,6,4,6,6,4,5,4,5,2,3,5,3,5,6,6,4,5,4,6,3,3,4,2,4,1,3,3,5,5,6,2,2,2,7,3,adriel62,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,3,5,2,5,3,5,4,6,4,2,6,5,5,5,5,4,6,6,3,5,6,4,4,2,4,2,5,1,1,1,1,5,3,2,0,0,0,6,jdsolanos,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,6,0,6,6,6,3,6,6,6,4,6,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,0,2,0,3,5,5,2,6,2,6,0,gcantem,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,3,3,0,0,4,4,4,0,4,0,3,6,6,6,6,6,6,6,5,6,5,5,3,1,5,1,4,1,1,1,1,3,2,1,2,2,15,3,JulianaNino,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,5,4,5,4,6,5,6,5,5,3,3,5,4,1,5,2,5,4,5,5,5,4,4,5,4,6,3,3,3,3,5,5,3,1,0,0,2,davidh17,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,4,6,3,5,3,6,4,5,5,3,4,4,4,6,5,6,4,5,5,6,5,6,5,4,5,3,5,0,1,1,1,4,3,2,0,0,0,2,camilo654,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,4,5,5,5,4,5,5,5,5,5,4,6,4,3,3,4,4,3,5,3,4,3,5,3,5,4,5,4,3,4,3,4,4,2,8,8,5,3,Semoralesga,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,6,6,4,5,4,6,5,6,5,3,4,1,6,5,6,4,6,6,6,4,5,5,1,0,6,1,6,0,1,0,3,6,5,2,0,0,6,5,luegilca,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,3,6,3,4,3,6,6,6,6,3,3,0,3,6,5,6,5,5,5,6,4,5,5,4,4,5,6,2,2,3,4,5,2,2,0,0,45,1,feartheGru,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,5,4,4,5,5,5,5,5,5,5,4,5,6,6,6,6,6,5,6,5,6,5,5,5,5,6,3,3,3,5,5,5,3,10,0,20,5,UNhcrodriguezl,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,4,4,3,3,5,4,4,5,6,1,5,6,2,5,5,3,4,3,4,2,4,3,2,3,2,3,4,1,2,1,3,5,4,2,1,1,0,4,ItsNavi,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,6,3,4,6,6,6,6,6,6,6,3,5,5,3,5,5,5,3,5,4,5,2,4,5,1,6,0,3,0,3,5,2,2,0,1,1,3,Davsatu313,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,6,6,3,6,6,5,5,5,5,1,5,4,3,5,5,5,4,2,5,2,5,3,3,0,6,0,6,0,0,0,0,3,5,2,0,0,15,7,jscastelblancoh,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,6,4,5,6,6,4,4,6,4,2,1,5,5,5,5,5,5,5,5,5,5,2,2,4,2,5,1,2,5,4,4,2,2,1,3,2,2,katherinsb,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,5,5,0,3,5,6,5,4,5,3,3,4,4,5,5,5,4,5,3,5,5,5,2,0,5,0,5,0,0,0,0,5,5,2,0,0,2,2,jufcontrerasco,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,4,3,4,3,4,3,3,4,3,3,4,4,4,4,3,3,4,4,3,4,4,4,1,4,1,3,1,1,1,1,4,3,0,0,0,3,3,tres-iqus,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
4,5,4,4,4,5,5,5,4,5,3,3,3,5,5,5,4,5,5,5,5,5,5,5,3,5,3,6,2,2,1,3,4,4,3,1,1,15,6,lgmoralesa,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,6,5,5,5,6,6,6,6,5,6,4,6,5,4,6,5,5,5,5,6,5,4,6,5,5,5,3,5,5,5,5,5,2,0,2,40,10,camilo13152,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
2,2,2,2,2,2,3,4,3,2,2,3,5,2,3,2,3,3,4,4,4,4,4,2,0,0,0,2,0,0,0,0,3,3,1,0,0,0,1,nabautistal,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,4,2,3,3,5,5,6,5,5,3,2,5,3,4,3,3,4,5,4,4,4,5,4,5,5,4,5,3,4,3,4,4,3,2,2,0,0,2,jhonsd1996,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,2,3,1,1,4,1,1,4,0,1,2,6,4,3,5,3,4,4,3,5,3,5,3,0,6,0,4,0,0,0,0,4,4,1,0,0,1,4,lemartinp,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,3,3,3,3,3,3,4,4,5,3,3,6,4,3,5,4,4,1,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,0,2,0,3,NicolasZon,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,3,3,3,4,6,4,4,5,3,4,5,5,5,3,5,5,4,4,5,4,3,3,3,5,4,5,1,3,1,3,4,3,2,0,0,4,4,jsviveroj,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,4,2,diegocruz10,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,3,3,3,3,5,4,4,3,3,4,2,4,4,4,4,3,4,3,4,4,4,4,3,5,4,5,3,4,4,4,3,3,2,10,10,4,3,NicolasPrr,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,6,5,5,3,6,5,4,4,5,4,6,6,5,5,6,6,5,5,5,5,5,5,5,6,6,6,4,4,4,4,5,5,2,1,3,8,3,odprietoh,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,6,6,6,6,4,6,5,6,5,5,6,3,5,5,6,5,6,5,4,5,5,5,4,5,5,5,5,4,4,3,3,5,5,2,0,0,0,3,jiapulidoar,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
2,1,2,3,3,1,2,1,1,2,2,3,1,2,5,4,4,3,4,3,4,4,5,4,2,3,3,2,2,4,2,3,3,3,2,0,1,8,10,Gantiva,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,3,3,2,3,4,6,5,5,3,4,4,5,2,4,2,4,4,3,3,4,4,3,1,1,4,2,4,1,5,1,3,4,4,1,0,0,10,4,dduartec,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,6,0,5,3,6,5,3,5,3,2,6,3,4,4,3,4,6,5,6,4,6,1,3,1,1,3,0,2,1,1,2,3,1,0,0,5,10,joaortizro,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
0,5,5,5,5,5,5,5,5,6,5,6,1,5,5,5,6,6,5,5,5,4,6,4,4,3,3,3,4,4,4,4,5,5,3,2,1,1,2,oeroaq,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,4,3,3,4,5,5,4,5,3,3,6,4,5,5,5,5,3,3,3,3,3,3,2,5,2,5,2,3,3,3,4,3,2,1,1,8,6,begarzonf,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,4,3,4,4,4,5,4,4,5,4,5,1,4,4,4,5,5,3,4,3,5,5,1,1,4,1,3,1,4,1,4,3,3,2,5,5,10,10,afforeroc,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
0,6,6,6,6,6,6,6,4,6,3,5,6,2,6,4,5,6,1,3,3,0,4,0,0,2,2,5,3,3,3,3,4,4,0,0,0,50,6,MogGy94,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,4,6,2,1,3,4,3,3,5,1,3,2,5,5,5,5,5,6,5,4,3,3,3,4,5,1,5,1,1,1,1,6,3,3,0,0,10,1,lsfinite,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Female,Multiracial,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,3,5,4,4,4,5,3,3,5,2,4,5,5,5,5,5,5,3,3,4,3,5,1,0,3,0,3,0,0,0,0,2,2,0,0,0,0,4,smarquezo,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,3,2,4,4,4,3,2,4,4,2,4,5,5,5,5,5,4,4,5,4,3,5,3,2,4,2,3,1,2,1,2,2,0,1,0,0,2,4,fmbernalb,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,4,3,3,3,4,5,3,4,4,3,4,1,3,3,4,5,4,2,3,4,5,5,4,2,5,1,5,1,1,1,3,5,4,2,0,0,0,5,gfalbarracinr,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,6,4,4,5,4,6,5,5,5,6,4,6,6,6,6,6,6,6,4,6,5,6,0,0,6,0,6,1,3,0,2,5,4,3,0,4,4,10,HashNick,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
4,6,6,3,5,6,6,4,3,6,0,4,5,4,5,4,4,4,3,3,3,3,3,3,0,4,0,3,0,0,0,3,2,3,2,0,0,0,3,capinzor,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,1,4,3,3,4,5,4,5,4,2,4,4,4,4,4,4,4,4,3,5,5,4,4,3,3,4,4,1,3,1,1,3,4,2,0,0,0,5,jdsuarezj,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,4,5,3,4,5,4,4,5,5,4,3,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5,4,4,4,5,5,4,3,10,10,4,2,falperezgo,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,6,6,2,4,4,5,3,5,3,3,4,5,4,5,5,4,4,4,2,5,1,4,2,2,4,0,5,0,1,0,2,4,4,2,0,0,0,3,Dandarprox,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,6,5,5,5,1,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,3,5,5,5,4,4,4,4,4,5,4,3,0,0,4,2,juligarji,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,0,3,0,0,0,2,0,1,4,0,3,6,3,3,4,3,4,3,4,5,3,5,2,0,1,1,4,0,0,0,2,4,3,2,0,0,4,1,anmmunozme,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,0,0,0,5,jmhurtadoc,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,4,3,4,3,3,4,4,4,4,4,4,3,2,3,3,3,1,6,3,0,5,oserasoa,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,2,2,2,2,Danielsv9207,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,White,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,4,3,5,6,5,5,6,6,3,2,6,6,5,5,5,5,5,5,5,5,5,6,3,5,2,5,1,3,3,1,4,5,2,2,1,0,10,jmcuestasb,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,3,5,4,5,2,2,5,5,1,4,3,1,5,0,4,1,4,5,6,2,0,2,0,3,dsbarrerag,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
4,5,5,6,6,5,6,4,5,5,3,5,3,5,6,5,6,4,4,3,6,5,5,5,1,5,2,6,3,4,2,3,4,2,2,0,0,15,3,luealfonsoru,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
4,4,5,3,4,3,5,4,3,5,2,4,4,3,5,4,5,5,3,5,4,4,3,3,2,4,2,3,1,1,2,3,4,3,1,0,1,1,5,cccristanchoc,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,5,4,4,5,4,5,5,5,5,6,6,3,3,4,5,5,3,4,3,5,5,5,3,1,4,1,5,1,2,1,3,2,2,2,4,4,3,3,juandavidro,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,6,3,1,6,3,6,5,3,5,6,3,5,5,5,5,5,5,6,6,6,4,4,4,5,3,3,5,1,0,1,0,2,4,4,0,4,4,3,crigar,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,4,3,4,5,6,6,5,5,3,6,5,6,5,4,5,6,5,6,4,5,4,1,0,6,0,5,0,1,0,0,6,4,0,0,0,5,2,cesarochoa2006,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
3,6,4,5,5,3,5,5,5,5,3,4,4,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,2,6,4,4,6,5,2,4,0,10,5,mballeng91,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
1,4,6,2,2,3,5,3,5,5,4,3,4,4,5,5,5,5,4,4,4,3,5,2,2,4,3,4,1,3,1,1,5,5,2,3,2,3,2,pipemax85,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,4,6,5,5,4,6,6,6,5,5,4,5,6,6,5,6,5,6,4,5,5,6,6,4,5,5,5,3,4,4,4,5,5,4,16,6,2,4,gasierram,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,3,5,5,5,4,4,5,4,4,3,5,4,4,5,5,5,3,4,5,5,3,4,3,1,4,4,5,1,1,1,3,4,5,4,8,8,5,5,idrojasf,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,3,3,3,2,6,3,2,3,3,4,4,3,5,5,4,4,2,2,3,3,3,2,0,3,0,4,0,1,0,0,4,2,1,0,0,0,2,jdmonroyg,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,3,6,6,6,6,6,6,3,3,3,4,3,3,3,2,3,3,2,9,10,2,2,maikellPardoA,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,li2266,,Male,Asian/Pacific Islander,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,5,5,4,5,6,5,5,6,4,4,4,4,5,5,5,4,5,4,5,3,4,4,1,4,1,5,1,2,1,2,5,5,2,0,0,7,7,raulramirezp,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
3,4,0,1,3,1,4,5,5,5,5,0,6,2,4,3,4,3,3,3,3,3,3,2,1,3,2,5,1,3,4,4,5,4,2,0,0,35,4,afceballosr,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,5,5,4,5,4,5,4,5,5,4,4,5,5,3,5,3,3,5,2,4,6,3,4,4,4,4,1,2,3,3,5,4,2,2,2,1,2,juanescai,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,4,4,maikellPardo,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Not Listed (please specify),"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,5,4,4,4,5,5,4,5,4,4,5,5,4,4,4,5,3,3,4,4,3,3,3,3,2,3,1,3,2,4,2,2,2,0,0,0,3,mdbelloc,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
5,5,6,6,5,5,6,5,6,5,6,6,0,5,5,5,5,5,3,5,5,5,4,6,6,6,6,5,5,4,5,5,5,5,2,5,1,0,3,JhonEmmanuelTorres,,Male,Hispanic/Latino,Yes
3,3,3,3,5,3,6,6,6,6,3,3,5,3,3,2,2,3,6,6,6,6,6,2,0,5,0,4,0,0,0,0,5,5,2,0,0,10,2,gabi04,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Multiracial,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
