change,addition,delete,username,,,
 0 files changed,,,JhonEmmanuelTorres,,, 
 0 files changed,,,jhonsd1996,,, 
 10 files changed,,,jhriverasa,,, 
 2 files changed, 3 insertions(+), 35 deletions(-),jiapulidoar,,, 
 1 file changed,,,jjmuesesq,,, 
 4 files changed, 4 insertions(+), 7 deletions(-)  1 ,jjrodriguezn,,, 
 2 files changed, 11 insertions(+), 24 deletions(-),jmalvarezd,,, 
 1 file changed, 9 insertions(+), 26 deletions(-),jmcuestasb,,, 
 0 files changed,,,jmhurtadoc,,, 
 0 files changed,,,joahernandezca,,, 
 0 files changed,,,joaortizro,,, 
 2 files changed, 40 insertions(+), 64 deletions(-),jonatan360,,, 
 1 file changed, 17 insertions(+), 80 deletions(-),jorge52an,,, 
 1 file changed, 26 insertions(+), 3 deletions(-),JoseMolano,,, 
 2 files changed, 15 insertions(+), 50 deletions(-),jscastelblancoh,,, 
 1 file changed, 32 insertions(+), 3 deletions(-),jscontrerasp,,, 
 0 files changed,,,jsnarvaezb,,, 
 2 files changed, 6 insertions(+), 32 deletions(-),jsviveroj,,, 
 0 files changed,,,juandavidro,,, 
 1 file changed,,,juanescai,,, 
 0 files changed,,,JuanitoAli,,, 
 0 files changed,,,juasmartinezbel,,, 
 0 files changed,,,jucjimenezmo,,, 
 1 file changed, 125 deletions(-),,juclopezso,,, 
 2 files changed, 31 insertions(+), 45 deletions(-),Judgarciani,,, 
 0 files changed,,,jufcontrerasco,,, 
 2 files changed, 1 insertion(+), 1 deletion(-),JulianaNino,,, 
 1 file changed, 44 insertions(+), 44 deletions(-),juligarji,,, 
 1 file changed, 2 insertions(+), 2 deletions(-),jumcorredorro,,, 
 0 files changed,,,jusherrerama,,, 
 0 files changed,,,kancas,,, 
 3 files changed, 259 insertions(+), 371 deletions(-),katherinsb,,, 
 0 files changed,,,kgbayala528,,, 
 2 files changed, 77 insertions(+), 112 deletions(-),kmendezp96,,, 
 2 files changed, 38 insertions(+), 54 deletions(-),lacardenasv,,, 
 1 file changed, 1 insertion(+), 4 deletions(-),leavendanoro,,, 
 6 files changed, 62 insertions(+), 257 deletions(-),leguzman,,, 
 1 file changed, 2 insertions(+), 4 deletions(-),lemartinp,,, 
 2 files changed, 2 insertions(+), 5 deletions(-),lfvalderrama,,, 
 2 files changed, 65 insertions(+), 24 deletions(-),lgmoralesa,,, 
 0 files changed,,,li2266,,, 
 6 files changed, 2 insertions(+), 4 deletions(-),ligibrial,,, 
 2 files changed, 29 insertions(+), 66 deletions(-),lizzyt10h,,, 
 0 files changed,,,lsfinite,,, 
 0 files changed,,,luealfonsoru,,, 
 0 files changed,,,luegilca,,, 
 0 files changed,,,macuestap,,, 
 0 files changed,,,maikellPardo,,, 
 0 files changed,,,maikellPardoA,,, 
 0 files changed,,,mballeng91,,, 
 0 files changed,,,mdbelloc,,, 
 2 files changed, 10 insertions(+), 42 deletions(-),miaborjaac,,, 
 2 files changed, 81 insertions(+), 136 deletions(-),mnguzmanc,,, 
 0 files changed,,,MogGy94,,, 
 2 files changed, 36 insertions(+), 62 deletions(-),Moimolcp,,, 
 4 files changed, 2 insertions(+),,nabautistal,,, 
 2 files changed, 4 insertions(+), 243 deletions(-),ncampuzano,,, 
 0 files changed,,,nfmorenog,,, 
 4 files changed, 2 insertions(+), 4 deletions(-),NicolasPrr,,, 
 0 files changed,,,NicolasZon,,, 
 1 file changed, 2 insertions(+), 6 deletions(-),oacastillol,,, 
 0 files changed,,,odprietoh,,, 
 3 files changed, 43 insertions(+), 65 deletions(-),oeroaq,,, 
 0 files changed,,,ofnanezn,,, 
 2 files changed, 14 insertions(+), 27 deletions(-),oserasoa,,, 
 1 file changed, 2 insertions(+),,pcberriop,,, 
 0 files changed,,,Phoenixest,,, 
 0 files changed,,,pipemax85,,, 
 1 file changed, 19 deletions(-),,raulramirezp,,, 
 2 files changed, 3 insertions(+),,ronaldsg20,,, 
 1 file changed, 6 insertions(+), 11 deletions(-),sacastroc,,, 
 1 file changed, 15 insertions(+), 103 deletions(-),sagilm,,, 
 3 files changed, 858 insertions(+), 36 deletions(-),sarizag,,, 
 0 files changed,,,Semoralesga,,, 
 1 file changed, 26 insertions(+), 371 deletions(-),smarquezo,,, 
 0 files changed,,,spenas,,, 
 0 files changed,,,srmedinac,,, 
 1 file changed, 167 insertions(+), 22 deletions(-),stevenbustos,,, 
 0 files changed,,,tres-iqus,,, 
 0 files changed,,,UNhcrodriguezl,,, 
 0 files changed,,,uxjudges2,,, 
 2 files changed, 1 insertion(+), 4 deletions(-),wapiravaguens,,, 
 0 files changed,,,wilson911013,,,
 0 files changed,,,wolfstain,,,
 3 files changed, 8 insertions(+), 143 deletions(-),xdanielsb,,,
 7 files changed, 110 insertions(+), 167 deletions(-),Yelis3,,,
 2 files changed, 16 insertions(+), 66 deletions(-),ykchautai,,,
 0 files changed,,,yocuervoc,,,
 0 files changed,,,Zeugmax,,,
