change,addition,delete,username
 11 files changed, 36 insertions(+), 85 deletions(-),jdsuarezj
 5 files changed, 180 insertions(+), 374 deletions(-),jesusfchavarro
 0 files changed,,,jhcardenasa
 0 files changed,,,JhonEmmanuelTorres
 1 file changed,,,jhonsd1996
 5 files changed, 73 insertions(+), 158 deletions(-),jhriverasa
 8 files changed, 22 insertions(+), 142 deletions(-),jiapulidoar
 11 files changed,,,jjmuesesq
 9 files changed,,,jjrodriguezn
 3 files changed, 62 insertions(+), 110 deletions(-),jmalvarezd
 7 files changed, 7 deletions(-),,jmcuestasb
 0 files changed,,,jmhurtadoc
 3 files changed, 2 insertions(+), 25 deletions(-),joahernandezca
 3 files changed, 28 insertions(+), 79 deletions(-),joaortizro
 2 files changed, 88 insertions(+), 206 deletions(-),jonatan360
 1 file changed, 13 insertions(+), 101 deletions(-),jorge52an
 7 files changed, 19 insertions(+), 56 deletions(-),JoseMolano
 3 files changed, 43 insertions(+), 240 deletions(-),jscastelblancoh
 5 files changed, 29 insertions(+), 9 deletions(-),jscontrerasp
 6 files changed, 98 insertions(+), 133 deletions(-),jsnarvaezb
 3 files changed, 17 insertions(+), 147 deletions(-),jsviveroj
 2 files changed, 292 insertions(+), 35 deletions(-),juandavidro
 4 files changed,,,juanescai
 8 files changed, 121 insertions(+), 172 deletions(-),JuanitoAli
 1 file changed, 4 insertions(+), 21 deletions(-),juasmartinezbel
 1 file changed,,,jucjimenezmo
 0 files changed,,,juclopezso
 4 files changed, 13 insertions(+), 24 deletions(-),Judgarciani
 5 files changed, 14 insertions(+), 24 deletions(-),jufcontrerasco
 3 files changed, 4 insertions(+), 55 deletions(-),JulianaNino
 4 files changed, 56 insertions(+), 295 deletions(-),juligarji
 1 file changed, 29 insertions(+), 35 deletions(-),jumcorredorro
 0 files changed,,,jusherrerama
 2 files changed, 14 insertions(+), 15 deletions(-),kancas
 6 files changed,,,katherinsb
 2 files changed, 41 insertions(+), 151 deletions(-),kgbayala528
 2 files changed, 72 insertions(+), 157 deletions(-),kmendezp96
 6 files changed, 41 insertions(+), 111 deletions(-),lacardenasv
 4 files changed, 17 insertions(+), 38 deletions(-),leavendanoro
 8 files changed, 93 insertions(+), 967 deletions(-),leguzman
 4 files changed, 14 insertions(+), 303 deletions(-),lemartinp
 6 files changed, 8 insertions(+), 11 deletions(-),lfvalderrama
 5 files changed, 100 insertions(+), 97 deletions(-),lgmoralesa
 0 files changed,,,li2266
 6 files changed, 1 insertion(+), 10 deletions(-),ligibrial
 5 files changed, 22 insertions(+), 21 deletions(-),lizzyt10h
 6 files changed, 15 insertions(+), 44 deletions(-),lsfinite
 2 files changed, 38 insertions(+), 60 deletions(-),luealfonsoru
 0 files changed,,,luegilca
 5 files changed,,,macuestap
 0 files changed,,,maikellPardo
 1 file changed,,,maikellPardoA
 4 files changed, 4 insertions(+), 3 deletions(-),mballeng91
 0 files changed,,,mdbelloc
 5 files changed, 34 insertions(+), 29 deletions(-),miaborjaac
 3 files changed, 43 insertions(+), 144 deletions(-),mnguzmanc
 0 files changed,,,MogGy94
 2 files changed, 41 insertions(+), 105 deletions(-),Moimolcp
 8 files changed,,,nabautistal
 10 files changed, 43 insertions(+), 273 deletions(-),ncampuzano
 2 files changed, 5 insertions(+), 17 deletions(-),nfmorenog
 5 files changed, 41 insertions(+), 49 deletions(-),NicolasPrr
 2 files changed, 3 insertions(+), 7 deletions(-),NicolasZon
 4 files changed, 14 insertions(+), 124 deletions(-),oacastillol
 0 files changed,,,odprietoh
 3 files changed, 31 insertions(+), 304 deletions(-),oeroaq
 2 files changed, 22 insertions(+), 7 deletions(-),ofnanezn
 2 files changed, 10 insertions(+), 28 deletions(-),oserasoa
 2 files changed, 4 insertions(+), 2 deletions(-),pcberriop
 0 files changed,,,Phoenixest
 2 files changed, 31 insertions(+), 58 deletions(-),pipemax85
 7 files changed, 23 insertions(+), 24 deletions(-),raulramirezp
 8 files changed, 27 insertions(+), 70 deletions(-),ronaldsg20
 7 files changed, 8 insertions(+), 15 deletions(-),sacastroc
 6 files changed, 19 insertions(+), 129 deletions(-),sagilm
 3 files changed, 23 insertions(+), 100 deletions(-),sarizag
 2 files changed, 8 insertions(+), 66 deletions(-),Semoralesga
 1 file changed, 27 insertions(+), 610 deletions(-),smarquezo
 5 files changed, 83 insertions(+), 59 deletions(-),spenas
 6 files changed, 48 insertions(+), 228 deletions(-),srmedinac
 6 files changed, 2 insertions(+), 72 deletions(-),stevenbustos
 0 files changed,,,tres-iqus
 2 files changed,,,UNhcrodriguezl
 0 files changed,,,uxjudges2
 2 files changed, 33 insertions(+), 77 deletions(-),wapiravaguens
 3 files changed,,,wilson911013
 6 files changed, 46 insertions(+), 459 deletions(-),wolfstain
 11 files changed, 12 insertions(+), 58 deletions(-),xdanielsb
 9 files changed, 6 insertions(+), 23 deletions(-),Yelis3
 4 files changed, 25 insertions(+), 196 deletions(-),ykchautai
 0 files changed,,,yocuervoc
 0 files changed,,,Zeugmax
