username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1,total_raw4,total_norm4,total_norm_per4,total_raw3,total_norm3,total_norm_per3,total_raw2,total_norm2,total_norm_per2,total_raw1,total_norm1,total_norm_per1
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.008042464,99.19575358,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",5,100,96.30%,"1.0,1.0,1.0,1.0,1.0,",8,44.44444444,96.30%,"1.0,0.0,1.0,2.0,2.0,2.0,",13,56.52173913,96.30%,5,1.111111111,77.78%,"3.0,1.0,1.0,;",28,313.350343,96.30%,3,0.666666667,74.07%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%,20,260.021153,96.30%,12,215.251883,85.19%,15,216.3352131,92.59%,11,206.086957,92.59%
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,1,1,0,1,1,1,0,,0.043859649,95.61403509,6,60,66.67%,"0,0,1,1,0,1,1,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,0,0,0.00%,,9,181.7009916,51.85%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,7.41%
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,",0.013636364,98.63636364,5,50,62.96%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,3,0.666666667,66.67%,"1.0,1.0,1.0,;",13,192.7812912,74.07%,3,0.666666667,74.07%,0,0,0.00%,0,0,0.00%,0,0,0.00%,10,166.8951803,62.96%,8,173.97428,51.85%,3,126.6666667,3.70%,5,146.448461,44.44%
olimita,unal0,IH-Project-2017-olimita_webapp_phase5,Wed Nov 22 08:30:39 2017,1,4,"Required Weather API, New York City Museums, New York Safety, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.016981132,98.30188679,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333,88.89%,"2.0,0.0,2.0,1.0,1.0,0.0,",7,30.43478261,88.89%,14,3.111111111,88.89%,"3.0,0.0,0.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",31,262.2825631,92.59%,10,2.222222222,88.89%,8,1.777777778,88.89%,3,0.666666667,81.48%,0,0,0.00%,22,216.3861018,88.89%,24,250.719632,96.30%,16,223.408459,96.30%,10,193.188406,85.19%
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,d3,jquery,",0.018957346,98.1042654,7,70,81.48%,"0,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,0,0,0.00%,,10,194.1912219,77.78%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,10,191.599777,70.37%,9,186.7741935,70.37%,11,201.73913,88.89%
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,8,174.42029,55.56%,3,126.6666667,3.70%,6,152.753623,51.85%
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase5,Wed Nov 22 08:30:39 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, New York City Museums, ",0,1,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.016423358,98.35766423,5,50,51.85%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,15,3.333333333,92.59%,"1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",25,195.1692584,81.48%,15,3.333333333,96.30%,12,2.666666667,92.59%,0,0,0.00%,0,0,0.00%,25,195.0258799,85.19%,24,213.912785,81.48%,3,126.6666667,3.70%,8,172.139588,74.07%
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,8,170.146362,48.15%,3,126.6666667,3.70%,5,146.286014,40.74%
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,6,1.333333333,81.48%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%,15,187.4392906,77.78%,9,184.037776,66.67%,13,194.7773386,85.19%,6,156.612319,62.96%
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,7.41%
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,0,,0.011494253,98.85057471,6,60,74.07%,"1,1,1,1,0,0,0,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,3,0.666666667,66.67%,"3.0,0.0,0.0,;",12,185.6041979,59.26%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,7,164.6886016,59.26%,5,146.567993,40.74%,3,126.6666667,3.70%,3,126.666667,7.41%
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,7.41%
biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,",0.030716724,96.92832765,5,50,48.15%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555556,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652174,44.44%,1,0.222222222,55.56%,"1.0,0.0,0.0,;",8,164.5418542,44.44%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,5,144.828249,37.04%
bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,7.41%
LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Fire Department Directory for New York State, ",0,1,1,0,0,0,1,1,"font-awesome,bootstrap,jquery,",0.015564202,98.44357977,5,50,55.56%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043,70.37%,1,0.222222222,55.56%,"1.0,0.0,0.0,;",11,192.1440629,70.37%,1,0.222222222,70.37%,1,0.222222222,74.07%,1,0.222222222,77.78%,0,0,0.00%,10,183.4484107,74.07%,9,174.752759,59.26%,11,192.1440629,77.78%,9,184.782609,77.78%
Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.043478261,95.65217391,7,70,77.78%,"0,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,0,0,0.00%,,10,191.7391304,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,10,193.522854,81.48%,10,193.522854,74.07%,10,193.522854,81.48%,4,135.362319,29.63%
Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,6,152.753623,51.85%
frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Housing New York Units by Building, ",1,1,1,0,0,0,1,1,"d3,bootstrap,",0.019607843,98.03921569,6,60,70.37%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555556,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652174,44.44%,1,0.222222222,55.56%,"1.0,0.0,0.0,;",9,175.6527423,48.15%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,7,163.6956522,51.85%,6,156.25,44.44%,3,126.6666667,3.70%,6,154.361001,59.26%
Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,7,164.5972915,55.56%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,7.41%
evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,8,1.777777778,74.07%,8,1.777777778,77.78%,0,0,0.00%,0,0,0.00%,18,192.7980102,62.96%,22,230.189315,88.89%,10,189.6092237,70.37%,3,127.391304,33.33%
JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.038997215,96.10027855,8,80,85.19%,"1,1,1,1,1,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",7,38.88888889,96.30%,"3.0,0.0,3.0,1.0,0.0,0.0,",8,34.7826087,92.59%,3,0.666666667,66.67%,"3.0,0.0,0.0,;",19,246.3321626,88.89%,3,0.666666667,66.67%,3,0.666666667,62.96%,0,0,0.00%,0,0,0.00%,18,236.4581069,88.89%,15,210.055084,66.67%,9,180.2573601,59.26%,9,174.45905,62.96%
Saariasba,unal1,IH-Project-2017-Saariasba_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,5,141.342711,44.44%,6,154.165498,48.15%
tres-iqus,unal1,IH-Project-2017-tres-iqus_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,0,0,0,0,0,0,,0,100,1,10,0.00%,"0,0,0,0,0,0,0,0,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,1,110,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,1,110,0.00%,1,110,0.00%,1,110,0.00%,0,0,0.00%
cglaitong,unal1,IH-Project-2017-cglaitong_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, New York State Career Centers, Required Weather API, New York City Museums, NYCHA Development Data Book, New York City Locations Providing Seasonal Flu Vaccinations, Directory Of DCP Offices, ",1,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.006486487,99.35135135,9,90,96.30%,"1,1,1,1,0,1,1,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,77.78%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,77.78%,30,6.666666667,92.59%,"1.0,1.0,2.0,;3.0,1.0,2.0,;3.0,2.0,1.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;0.0,1.0,2.0,;",45,248.1919311,92.59%,33,7.333333333,96.30%,27,6,96.30%,18,4,92.59%,0,0,0.00%,49,257.863532,92.59%,39,221.6948,81.48%,32,237.1126302,92.59%,11,205.253623,92.59%
DaniCastel,unal1,IH-Project-2017-DaniCastel_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York City Art Galleries, Bicycle Routes Across New York State: Map, New York City Museums, ",1,1,1,1,0,0,1,1,"d3,animate,bootstrap,jquery,",0.008347245,99.16527546,7,70,81.48%,"0,1,1,1,1,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,77.78%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,77.78%,14,3.111111111,81.48%,"1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;",27,224.4502996,81.48%,1,0.222222222,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,12,206.038176,77.78%,8,177.059078,51.85%,11,205.7298137,81.48%,11,204.688355,88.89%
BrandonAvilanR,unal1,IH-Project-2017-BrandonAvilanR_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,12,2.666666667,85.19%,3,0.666666667,77.78%,0,0,0.00%,3,126.6666667,3.70%,27,245.360614,92.59%,13,196.4180527,74.07%,8,176.086957,66.67%
alejosaur,unal1,IH-Project-2017-alejosaur_webapp_phase5,Wed Nov 22 08:30:40 2017,1,6,"New York City Art Galleries, Bicycle Routes Across New York State: Map, Required Weather API, New York City Museums, New York City Locations Providing Seasonal Flu Vaccinations, Housing New York Units by Building, ",1,1,1,1,0,0,1,1,"bootstrap,animate,d3,jquery,",0.02425876,97.57412399,8,80,88.89%,"1,1,1,1,1,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,77.78%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,77.78%,27,6,88.89%,"1.0,1.0,2.0,;3.0,1.0,2.0,;3.0,2.0,1.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,1.0,;",41,235.748037,85.19%,29,6.444444444,92.59%,22,4.888888889,92.59%,24,5.333333333,96.30%,2,0.444444444,96.30%,43,236.1924815,85.19%,34,217.245622,74.07%,39,245.799546,96.30%,13,202.727053,85.19%
jaasuarezvi,unal1,IH-Project-2017-jaasuarezvi_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
jdsolanos,unal1,IH-Project-2017-jdsolanos_webapp_phase5,Wed Nov 22 08:30:40 2017,0,2,"New York City Art Galleries, New York City Museums, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.032894737,96.71052632,6,60,62.96%,"0,1,1,1,0,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,2,0.444444444,62.96%,"1.0,0.0,0.0,;1.0,0.0,0.0,;",11,183.2419273,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,9,177.6362523,59.26%,9,177.636252,55.56%,8,176.2418791,55.56%,9,183.229814,74.07%
DavidsMartinez,unal1,IH-Project-2017-DavidsMartinez_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
Biopeligro,unal1,IH-Project-2017-Biopeligro_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,9,181.362547,70.37%
garayf,unal1,IH-Project-2017-garayf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York City Art Galleries, NYCHA Development Data Book, New York City Museums, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.017951426,98.20485744,7,70,74.07%,"0,1,1,1,1,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,70.37%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.39130435,70.37%,11,2.444444444,77.78%,"1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",22,205.4319106,74.07%,8,1.777777778,74.07%,6,1.333333333,74.07%,4,0.888888889,85.19%,0,0,0.00%,18,194.5752748,66.67%,19,220.002073,77.78%,13,185.7768046,66.67%,6,155.978875,51.85%
jaleonro,unal1,IH-Project-2017-jaleonro_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.016901409,98.30985915,7,70,77.78%,"0,1,1,1,1,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,77.78%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,77.78%,0,0,0.00%,,13,220.4837722,77.78%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,12,211.5551839,81.48%,9,184.506689,59.26%,12,214.9375312,88.89%,9,184.922067,77.78%
facuellarg,unal1,IH-Project-2017-facuellarg_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,8,175.695652,48.15%,3,126.6666667,3.70%,3,126.666667,3.70%
Caadiazsi,unal1,IH-Project-2017-Caadiazsi_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,9,185.4619565,62.96%,9,185.461957,81.48%
sebcamacho1703,unal1,IH-Project-2017-sebcamacho1703_webapp_phase5,Wed Nov 22 08:30:40 2017,0,5,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, Fire Department Directory for New York State, Alternative Fuel Stations in New York, ",1,1,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.026726058,97.32739421,6,60,66.67%,"0,1,1,1,0,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,70.37%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.39130435,70.37%,21,4.666666667,85.19%,"1.0,2.0,2.0,;1.0,2.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;0.0,1.0,2.0,;",31,196.7766696,70.37%,4,0.888888889,70.37%,4,0.888888889,66.67%,0,0,0.00%,0,0,0.00%,11,170.1341719,51.85%,15,205.413345,62.96%,3,126.6666667,3.70%,7,166.734868,59.26%
xFortich,unal1,IH-Project-2017-xFortich_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York City Art Galleries, New York City Museums, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"animate,bootstrap,jquery,",0.002275313,99.77246871,6,60,70.37%,"0,1,1,1,0,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,9,2,70.37%,"1.0,1.0,1.0,;1.0,1.0,1.0,;3.0,0.0,0.0,;",18,187.8594252,66.67%,9,2,81.48%,9,2,81.48%,3,0.666666667,77.78%,0,0,0.00%,19,196.5542982,70.37%,22,224.60653,85.19%,14,206.5444182,85.19%,6,160,55.56%
Gusgal03,unal1,IH-Project-2017-Gusgal03_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,3,126.666667,3.70%
Juankmilo97,unal1,IH-Project-2017-Juankmilo97_webapp_phase5,Wed Nov 22 08:30:40 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, School Safety Report, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,",0.031034483,96.89655172,5,50,59.26%,"0,0,1,1,0,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,10,2.222222222,74.07%,"1.0,1.0,1.0,;1.0,1.0,1.0,;1.0,1.0,1.0,;1.0,0.0,0.0,;",18,175.2057305,59.26%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,8,173.5743937,55.56%,8,173.659772,44.44%,8,174.1452089,51.85%,4,138.684211,44.44%
