,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,phase1-clicks-count,phase2-clicks-count,phase3-clicks-count,phase4-clicks-count
36,MogGy94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,-12.5,-12.5,0.0,-12.5,0.0,0.0,-12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
37,yocuervoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-12.5,0.0,0.0,-12.5,0.0,12.5,-12.5,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
38,odprietoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0,25.0,62.5,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-25.0,-25.0,25.0,-25.0,0.0,0.0,0.0,-25.0,12.5,-12.5,0.0,0.0,-12.5,0.0,37.5,-62.5,0.0,0.0,-25.0,-62.5,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
39,gasierram,1.0,40.0,62.5,25.0,190.0,62.5,62.5,40.0,58.33,0.0,160.83,62.5,20.0,50.0,0.0,132.5,62.5,20.0,33.33,25.0,140.83,62.5,20.0,50.0,62.5,195.0,0.0,0.0,20.0,0.0,20.0,20.0,-16.67,16.67,8.329999999999998,4.170000000000002,12.5,29.17,-37.5,-25.0,0.0,25.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.16999999999999,-8.330000000000013,28.330000000000013,29.169999999999987,-5.0,49.16999999999999,20.0,12.5,-37.5,0.0,3.0,3.0,1.0,8.0,62.0,2.0,2.0,53.0,1.0,3.0,4.0,1.0,3.0,3.0,1.0,6.0,23.0,5.0,11.0,101.0,18.0,,
40,adamantwharf,1.0,20.0,25.0,0.0,107.5,62.5,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,50.0,20.0,25.0,0.0,95.0,37.5,20.0,25.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,12.5,25.0,12.5,0.0,0.0,12.5,25.0,12.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,121.0,2.0,0.0,40.0,,,
41,bdcajicam,1.0,40.0,29.17,62.5,206.67,75.0,62.5,20.0,29.17,62.5,174.17,50.0,20.0,25.0,62.5,157.5,50.0,20.0,25.0,0.0,95.0,25.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,20.0,40.0,20.0,25.0,0.0,4.170000000000002,0.0,29.17,4.170000000000002,0.0,62.5,0.0,0.0,62.5,62.5,25.0,0.0,12.5,12.5,25.0,50.0,70.0,62.5,16.669999999999987,32.5,181.67,111.66999999999999,40.0,29.17,62.5,50.0,0.0,0.0,0.0,39.0,26.0,4.0,39.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,3.0,39.0,22.0,,,
42,andfsanchezlem,1.0,20.0,25.0,0.0,45.0,0.0,0.0,20.0,25.0,0.0,45.0,0.0,20.0,25.0,0.0,45.0,12.5,20.0,25.0,0.0,57.5,25.0,20.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,-12.5,0.0,0.0,-12.5,-25.0,-12.5,-12.5,0.0,0.0,-25.0,-12.5,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,4.0,50.0,1.0,0.0,0.0,0.0,4.0,49.0,2.0,0.0,0.0,0.0,40.0,47.0,3.0,4.0,,17.0,,47.0
43,dfhincapiem,1.0,20.0,25.0,25.0,107.5,37.5,37.5,20.0,50.0,0.0,107.5,37.5,20.0,50.0,0.0,107.5,50.0,20.0,58.33,0.0,128.33,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,58.33,-8.329999999999998,0.0,-25.0,25.0,-33.33,0.0,0.0,0.0,25.0,25.0,25.0,50.0,-12.5,0.0,0.0,-12.5,37.5,128.33,-20.830000000000013,0.0,0.0,107.5,-20.830000000000013,20.0,25.0,25.0,37.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,87.0,10.0,0.0,34.0,,1.0,
44,helmeraac,1.0,0.0,25.0,0.0,87.5,62.5,37.5,20.0,29.17,0.0,86.67,25.0,0.0,29.17,0.0,54.17,37.5,0.0,25.0,87.5,150.0,25.0,20.0,25.0,0.0,70.0,-20.0,0.0,20.0,-20.0,-20.0,0.0,0.0,4.170000000000002,0.0,-4.170000000000002,0.0,0.0,87.5,-87.5,0.0,0.0,0.0,-87.5,12.5,-12.5,12.5,25.0,25.0,37.5,80.0,-95.83,32.5,0.8299999999999983,17.5,-62.5,-20.0,0.0,0.0,37.5,3.0,5.0,1.0,7.0,12.0,2.0,0.0,0.0,0.0,5.0,6.0,2.0,3.0,5.0,1.0,54.0,127.0,6.0,11.0,2.0,,1.0,
45,dasalgadob,1.0,0.0,25.0,25.0,100.0,50.0,50.0,100.0,75.0,0.0,225.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,25.0,0.0,75.0,50.0,0.0,25.0,25.0,100.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,-25.0,75.0,-50.0,0.0,0.0,-25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,175.0,-125.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,700.0,5.0,0.0,9.0,,19.0,
46,falperezgo,1.0,20.0,45.83,62.5,228.33,100.0,100.0,40.0,62.5,75.0,277.5,100.0,80.0,58.33,100.0,338.33,100.0,80.0,62.5,87.5,330.0,75.0,40.0,66.67,75.0,256.67,40.0,0.0,-40.0,-20.0,-20.0,-60.0,-4.170000000000002,-4.170000000000002,4.170000000000002,-16.67,-20.840000000000003,-16.67,12.5,12.5,-25.0,-12.5,-12.5,-25.0,25.0,0.0,0.0,0.0,0.0,25.0,73.32999999999998,8.329999999999984,-60.829999999999984,-49.16999999999999,-28.340000000000003,-101.66999999999999,-20.0,-20.840000000000003,-12.5,25.0,49.0,346.0,4.0,111.0,151.0,7.0,0.0,0.0,0.0,141.0,40.0,4.0,49.0,346.0,4.0,0.0,0.0,0.0,239.0,49.0,23.0,2.0,
47,djguzmanc,1.0,80.0,79.17,100.0,334.17,75.0,62.5,60.0,79.17,90.63,292.29,62.5,80.0,62.5,100.0,305.0,62.5,60.0,62.5,81.25,266.25,62.5,60.0,70.83,87.5,280.83,0.0,20.0,-20.0,20.0,20.0,20.0,-8.329999999999998,0.0,16.67,0.0,8.340000000000003,16.67,-6.25,18.75,-9.370000000000005,9.370000000000005,12.5,18.75,0.0,0.0,0.0,12.5,12.5,12.5,-14.579999999999984,38.75,-12.70999999999998,41.879999999999995,53.34000000000003,67.92000000000002,20.0,8.340000000000003,12.5,12.5,0.0,0.0,0.0,100.0,1008.0,3.0,86.0,306.0,2.0,62.0,674.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,25.0,17.0,39.0,55.0
48,gsuarezc04,1.0,0.0,25.0,0.0,50.0,25.0,25.0,0.0,25.0,0.0,50.0,25.0,0.0,25.0,0.0,50.0,37.5,0.0,20.83,75.0,133.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,4.170000000000002,0.0,0.0,25.0,4.170000000000002,75.0,-75.0,0.0,0.0,0.0,-75.0,37.5,-12.5,0.0,0.0,-12.5,25.0,133.33,-83.33000000000001,0.0,0.0,50.0,-83.33000000000001,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,2.0,0.0,,,,
49,oeroaq,1.0,100.0,87.5,82.5,357.5,87.5,75.0,100.0,79.17,95.83,350.0,75.0,100.0,58.33,87.5,320.83,75.0,80.0,58.33,75.0,288.33,37.5,60.0,58.33,75.0,230.83,20.0,20.0,0.0,0.0,40.0,20.0,0.0,0.0,20.840000000000003,8.329999999999998,29.17,29.17,0.0,12.5,8.329999999999998,-13.329999999999998,7.5,7.5,37.5,0.0,0.0,12.5,12.5,50.0,57.49999999999997,32.5,29.170000000000016,7.5,126.66999999999999,69.17000000000002,40.0,29.17,7.5,50.0,43.0,65.0,3.0,31.0,304.0,3.0,81.0,93.0,4.0,30.0,158.0,2.0,43.0,65.0,3.0,96.0,258.0,3.0,197.0,446.0,461.0,223.0,162.0
50,gcantem,1.0,100.0,70.83,87.5,283.33,25.0,100.0,60.0,29.17,75.0,264.17,62.5,60.0,29.17,75.0,226.67,62.5,60.0,41.67,87.5,251.67,62.5,100.0,79.17,87.5,329.17,-40.0,0.0,0.0,40.0,0.0,40.0,-37.5,-12.5,0.0,41.66,-8.340000000000003,29.159999999999997,0.0,-12.5,0.0,12.5,0.0,0.0,0.0,0.0,37.5,-75.0,-37.5,-37.5,-77.50000000000003,-25.0,37.50000000000003,19.159999999999968,-45.84000000000003,31.659999999999997,0.0,-8.340000000000003,0.0,-37.5,9.0,15.0,12.0,7.0,27.0,5.0,0.0,0.0,0.0,9.0,20.0,10.0,9.0,15.0,12.0,36.0,30.0,7.0,27.0,190.0,87.0,83.0,313.0
51,Semoralesga,1.0,20.0,33.33,62.5,165.83,50.0,62.5,20.0,33.33,62.5,178.33,62.5,20.0,33.33,62.5,178.33,75.0,20.0,33.33,62.5,190.83,12.5,20.0,33.33,0.0,65.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,62.5,-12.5,0.0,-12.5,-25.0,37.5,125.00000000000001,-12.5,0.0,-12.5,100.00000000000001,-25.0,0.0,0.0,62.5,37.5,0.0,0.0,0.0,8.0,66.0,2.0,0.0,0.0,0.0,12.0,57.0,5.0,0.0,0.0,0.0,12.0,57.0,5.0,12.0,59.0,,,
52,jonatan360,1.0,100.0,75.0,77.5,352.5,100.0,100.0,60.0,83.33,100.0,343.33,100.0,60.0,79.17,93.75,332.92,87.5,40.0,37.5,62.5,227.5,100.0,60.0,70.83,55.0,285.83,-20.0,20.0,0.0,40.0,40.0,60.0,-33.33,41.67,4.159999999999997,-8.329999999999998,4.170000000000002,37.5,7.5,31.25,6.25,-22.5,22.5,15.0,-12.5,12.5,0.0,0.0,12.5,0.0,-58.329999999999984,105.42000000000002,10.409999999999968,9.170000000000016,66.67000000000002,125.0,40.0,4.170000000000002,22.5,0.0,40.0,64.0,2.0,88.0,206.0,2.0,47.0,53.0,2.0,33.0,96.0,1.0,40.0,64.0,2.0,89.0,182.0,2.0,160.0,195.0,145.0,52.0,225.0
53,jesusfchavarro,1.0,100.0,62.5,82.5,345.0,100.0,75.0,100.0,70.83,87.5,333.33,75.0,100.0,70.83,100.0,345.83,75.0,60.0,66.67,87.5,289.17,100.0,40.0,33.33,75.0,248.33,20.0,40.0,0.0,0.0,60.0,40.0,33.34,4.159999999999997,0.0,-8.329999999999998,29.17,-4.170000000000002,12.5,12.5,-12.5,-5.0,7.5,-5.0,-25.0,0.0,0.0,25.0,25.0,0.0,40.84,56.65999999999997,-12.5,11.670000000000016,96.66999999999999,55.829999999999984,60.0,29.17,7.5,0.0,9.0,35.0,2.0,180.0,374.0,5.0,311.0,127.0,2.0,21.0,104.0,5.0,9.0,35.0,2.0,0.0,0.0,0.0,350.0,69.0,44.0,90.0,86.0
54,stevenbustos,1.0,20.0,33.33,70.0,198.33,75.0,62.5,20.0,33.33,0.0,115.83,50.0,20.0,33.33,0.0,103.33,50.0,20.0,33.33,0.0,103.33,12.5,20.0,37.5,62.5,132.5,0.0,0.0,0.0,0.0,0.0,0.0,-4.170000000000002,0.0,0.0,0.0,-4.170000000000002,0.0,-62.5,0.0,0.0,70.0,7.5,70.0,37.5,0.0,12.5,12.5,25.0,62.5,-29.17,0.0,12.5,82.50000000000001,65.83000000000001,95.00000000000001,0.0,-4.170000000000002,7.5,62.5,167.0,22.0,1.0,2.0,72.0,6.0,0.0,0.0,0.0,16.0,121.0,4.0,167.0,22.0,1.0,113.0,73.0,4.0,350.0,28.0,3.0,,
55,jufcontrerasco,1.0,60.0,79.17,50.0,264.17,75.0,75.0,20.0,41.67,25.0,161.67,50.0,20.0,33.33,25.0,128.33,50.0,0.0,33.33,25.0,108.33,0.0,0.0,29.17,62.5,91.67,0.0,20.0,0.0,40.0,60.0,60.0,4.159999999999997,0.0,8.340000000000003,37.5,50.0,45.84,-37.5,0.0,0.0,25.0,-12.5,25.0,50.0,0.0,25.0,0.0,25.0,75.0,16.659999999999997,20.000000000000014,33.339999999999975,102.50000000000003,172.5,155.84000000000003,60.0,50.0,-12.5,75.0,0.0,0.0,0.0,14.0,24.0,5.0,4.0,0.0,1.0,53.0,113.0,3.0,0.0,0.0,0.0,53.0,117.0,3.0,57.0,37.0,28.0,1.0,6.0
56,dsbarrerag,1.0,80.0,70.83,91.67,330.0,87.5,87.5,60.0,62.5,75.0,285.0,75.0,100.0,62.5,87.5,325.0,75.0,100.0,70.83,87.5,333.33,50.0,80.0,70.83,25.0,225.83,20.0,0.0,-40.0,20.0,0.0,-20.0,0.0,-8.329999999999998,0.0,8.329999999999998,0.0,0.0,62.5,0.0,-12.5,16.67,66.67,4.170000000000002,25.0,0.0,12.5,0.0,12.5,37.5,107.49999999999997,-8.329999999999984,-40.0,45.0,104.16999999999999,-3.329999999999984,0.0,0.0,66.67,37.5,53.0,20.0,2.0,71.0,43.0,4.0,2.0,12.0,1.0,1.0,3.0,1.0,53.0,20.0,2.0,84.0,105.0,5.0,109.0,47.0,1.0,,
57,wolfstain,1.0,20.0,33.33,56.25,197.08,87.5,87.5,20.0,33.33,62.5,203.33,87.5,20.0,25.0,62.5,195.0,75.0,20.0,33.33,62.5,190.83,25.0,20.0,29.17,0.0,74.17,0.0,0.0,0.0,0.0,0.0,0.0,4.159999999999997,-8.329999999999998,8.329999999999998,0.0,4.159999999999997,0.0,62.5,0.0,0.0,-6.25,56.25,-6.25,50.0,12.5,0.0,0.0,12.5,62.5,116.66000000000001,4.1699999999999875,8.330000000000013,-6.25,122.91000000000001,6.25,0.0,4.159999999999997,56.25,62.5,0.0,0.0,0.0,46.0,459.0,6.0,49.0,391.0,7.0,437.0,459.0,2.0,0.0,0.0,0.0,95.0,459.0,7.0,486.0,203.0,19.0,43.0,
58,miaborjaac,1.0,80.0,70.83,85.0,323.33,87.5,75.0,80.0,66.67,80.0,301.67,75.0,80.0,58.33,87.5,300.83,62.5,20.0,33.33,0.0,115.83,62.5,20.0,37.5,0.0,120.0,0.0,60.0,0.0,0.0,60.0,60.0,-4.170000000000002,25.0,8.340000000000003,4.159999999999997,33.33,37.5,0.0,87.5,-7.5,5.0,85.0,85.0,0.0,12.5,0.0,12.5,25.0,25.0,-4.170000000000002,185.0,0.8400000000000318,21.659999999999968,203.32999999999998,207.5,60.0,33.33,85.0,25.0,10.0,42.0,2.0,34.0,29.0,5.0,18.0,16.0,3.0,28.0,92.0,2.0,10.0,42.0,2.0,26.0,32.0,3.0,66.0,130.0,93.0,84.0,89.0
59,ivdgonzalezco,1.0,100.0,50.0,87.5,312.5,75.0,75.0,40.0,50.0,0.0,165.0,75.0,20.0,29.17,0.0,124.17,75.0,20.0,33.33,0.0,128.33,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,60.0,100.0,80.0,33.33,-4.159999999999997,20.83,0.0,50.0,16.67,0.0,0.0,0.0,87.5,87.5,87.5,75.0,0.0,0.0,0.0,0.0,75.0,128.33,-4.160000000000011,40.83,147.5,312.5,184.17,100.0,50.0,87.5,75.0,1.0,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,39.0,219.0,7.0,2.0,45.0,90.0,40.0,
60,maikellPardo,1.0,0.0,37.5,25.0,62.5,0.0,25.0,0.0,25.0,25.0,75.0,0.0,0.0,33.33,25.0,58.33,12.5,0.0,25.0,25.0,62.5,37.5,0.0,25.0,25.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.329999999999998,-8.329999999999998,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-12.5,25.0,-25.0,-12.5,-37.5,-25.0,-4.170000000000002,16.67,-12.5,-25.0,0.0,0.0,12.5,0.0,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,
61,Christian7sr,1.0,20.0,29.17,0.0,124.17,75.0,75.0,20.0,29.17,0.0,124.17,75.0,20.0,29.17,0.0,124.17,62.5,20.0,29.17,0.0,111.67,25.0,20.0,29.17,0.0,74.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,12.5,0.0,0.0,12.5,50.0,37.5,12.5,0.0,0.0,50.0,12.5,0.0,0.0,0.0,50.0,5.0,5.0,1.0,1.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,10.0,166.0,71.0,,
62,jsnarvaezb,1.0,20.0,54.17,50.0,211.67,87.5,75.0,40.0,54.17,75.0,244.17,62.5,20.0,58.33,87.5,228.33,62.5,20.0,50.0,75.0,207.5,50.0,20.0,41.67,62.5,174.17,0.0,0.0,20.0,-20.0,0.0,0.0,8.329999999999998,8.329999999999998,-4.159999999999997,0.0,12.5,4.170000000000002,12.5,12.5,-12.5,-25.0,-12.5,-25.0,12.5,0.0,12.5,12.5,25.0,37.5,33.33000000000001,20.830000000000013,15.839999999999975,-32.5,37.5,4.1699999999999875,0.0,12.5,-12.5,37.5,0.0,0.0,0.0,98.0,133.0,6.0,3.0,8.0,2.0,8.0,56.0,2.0,0.0,0.0,0.0,8.0,61.0,2.0,11.0,77.0,34.0,1.0,
63,gfalbarracinr,1.0,0.0,25.0,0.0,100.0,75.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,25.0,0.0,75.0,37.5,0.0,25.0,0.0,62.5,12.5,0.0,25.0,25.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,25.0,0.0,0.0,-25.0,0.0,0.0,0.0,-25.0,0.0,25.0,12.5,0.0,25.0,37.5,62.5,0.0,12.5,-25.0,50.0,37.5,37.5,0.0,0.0,-25.0,62.5,3.0,8.0,3.0,48.0,40.0,7.0,40.0,36.0,5.0,10.0,6.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,56.0,31.0,,43.0,35.0
64,aldiazve,1.0,20.0,54.17,75.0,236.67,87.5,87.5,60.0,54.17,58.33,260.0,75.0,40.0,45.83,68.75,229.58,75.0,40.0,45.83,50.0,210.83,37.5,20.0,25.0,37.5,120.0,20.0,0.0,20.0,-40.0,0.0,-20.0,20.83,0.0,8.340000000000003,0.0,29.17,8.340000000000003,12.5,18.75,-10.420000000000002,16.67,37.5,25.0,37.5,0.0,12.5,0.0,12.5,50.0,90.83000000000001,18.75,30.419999999999987,-23.330000000000013,116.66999999999999,25.839999999999975,0.0,29.17,37.5,50.0,14.0,83.0,3.0,10.0,229.0,6.0,0.0,0.0,0.0,1.0,29.0,2.0,14.0,83.0,3.0,4.0,49.0,2.0,29.0,162.0,86.0,13.0,113.0
65,diegoaguevarar,1.0,80.0,62.5,87.5,317.5,87.5,75.0,100.0,75.0,62.5,312.5,75.0,100.0,62.5,87.5,325.0,75.0,40.0,54.17,50.0,219.17,50.0,0.0,25.0,12.5,87.5,40.0,60.0,0.0,-20.0,80.0,40.0,29.17,8.329999999999998,12.5,-12.5,37.5,8.329999999999998,37.5,37.5,-25.0,25.0,75.0,37.5,25.0,0.0,0.0,12.5,12.5,37.5,131.67,105.83000000000001,-12.5,5.0,230.0,98.33000000000001,80.0,37.5,75.0,37.5,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,93.0,2.0,0.0,83.0,6.0,11.0,29.0
66,fevargasmo,1.0,40.0,50.0,75.0,240.0,75.0,75.0,40.0,58.33,75.0,248.33,75.0,80.0,58.33,100.0,313.33,75.0,0.0,29.17,25.0,129.17,50.0,40.0,75.0,0.0,165.0,-40.0,80.0,-40.0,0.0,0.0,40.0,-45.83,29.159999999999997,0.0,-8.329999999999998,-25.0,20.83,25.0,75.0,-25.0,0.0,75.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0,-35.83000000000001,184.16,-64.99999999999997,-8.330000000000013,75.0,110.83000000000001,0.0,-25.0,75.0,25.0,32.0,19.0,2.0,6.0,307.0,3.0,5.0,163.0,1.0,7.0,90.0,1.0,32.0,19.0,2.0,86.0,245.0,17.0,76.0,66.0,14.0,8.0,9.0
67,jmhurtadoc,1.0,0.0,33.33,25.0,120.83,62.5,62.5,0.0,29.17,25.0,116.67,62.5,0.0,33.33,25.0,120.83,62.5,0.0,25.0,0.0,87.5,100.0,0.0,25.0,37.5,162.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.329999999999998,-4.159999999999997,4.159999999999997,8.329999999999998,8.329999999999998,-37.5,25.0,0.0,0.0,-12.5,25.0,-37.5,0.0,0.0,0.0,0.0,-37.5,-75.0,33.33,-4.159999999999997,4.159999999999997,-41.67,33.33,0.0,8.329999999999998,-12.5,-37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
68,anfmorenoso,1.0,40.0,37.5,52.5,217.5,87.5,75.0,20.0,33.33,50.0,178.33,62.5,20.0,33.33,0.0,115.83,62.5,20.0,33.33,0.0,115.83,0.0,20.0,37.5,40.0,97.5,0.0,0.0,0.0,20.0,20.0,20.0,-4.170000000000002,0.0,0.0,4.170000000000002,0.0,4.170000000000002,-40.0,0.0,50.0,2.5,12.5,52.5,62.5,0.0,12.5,12.5,25.0,87.5,18.33,0.0,62.500000000000014,39.16999999999999,120.0,101.67,20.0,0.0,12.5,87.5,32.0,25.0,2.0,2.0,27.0,6.0,0.0,0.0,0.0,11.0,25.0,3.0,32.0,25.0,2.0,55.0,162.0,12.0,75.0,30.0,17.0,,27.0
69,nabautistal,1.0,20.0,50.0,62.5,195.0,62.5,37.5,20.0,33.33,0.0,90.83,37.5,20.0,29.17,0.0,86.67,50.0,20.0,29.17,0.0,99.17,12.5,20.0,25.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,4.170000000000002,0.0,4.159999999999997,16.67,25.0,20.83,0.0,0.0,0.0,62.5,62.5,62.5,37.5,-12.5,0.0,25.0,12.5,50.0,41.67,-12.5,4.159999999999997,104.17,137.5,95.83,0.0,25.0,62.5,50.0,2.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,7.0,4.0,80.0,11.0,,
70,crigar,1.0,20.0,25.0,0.0,82.5,37.5,62.5,20.0,25.0,0.0,107.5,37.5,20.0,25.0,0.0,82.5,50.0,20.0,25.0,0.0,95.0,25.0,20.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.5,25.0,-25.0,-12.5,12.5,25.0,-12.5,25.0,-25.0,12.5,-12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,
71,jiapulidoar,1.0,60.0,83.33,66.67,310.0,100.0,100.0,40.0,62.5,75.0,277.5,100.0,40.0,66.67,75.0,281.67,100.0,40.0,41.67,75.0,256.67,87.5,40.0,50.0,41.67,219.17,0.0,0.0,0.0,20.0,20.0,20.0,-8.329999999999998,25.0,-4.170000000000002,20.83,33.33,41.66,33.33,0.0,0.0,-8.329999999999998,25.0,-8.329999999999998,12.5,0.0,0.0,0.0,0.0,12.5,37.50000000000003,25.0,-4.170000000000016,32.5,90.83000000000001,53.329999999999984,20.0,33.33,25.0,12.5,3.0,35.0,2.0,22.0,142.0,8.0,24.0,61.0,1.0,0.0,0.0,0.0,3.0,35.0,2.0,0.0,0.0,2017.0,30.0,238.0,59.0,38.0,48.0
