,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,top2,djguzmanc,gsuarezc04,top5,gcantem,Semoralesga,jonatan360,top4,stevenbustos,jufcontrerasco,top1,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,bottom5,aldiazve,diegoaguevarar,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,top3,jcrubioa,joahernandezca,bottom2,bottom3,JairVillalba
top5,0.02586206896551724,0.047244094488188976,0.02586206896551724,0.0,0.02564102564102564,0.05228758169934641,0.008064516129032258,0.00980392156862745,0.13380281690140844,0.08275862068965517,0.0,0.10460251046025104,0.02631578947368421,0.095,0.005154639175257732,0.0,0.025157232704402517,0.03773584905660377,0.07228915662650602,0.03864734299516908,0.03116883116883117,0.0,0.0,0.08074534161490683,0.023809523809523808,0.02976190476190476,0.12109375,0.03896103896103896,0.11070110701107011,0.0,0.019867549668874173,0.0,0.023121387283236993,0.02531645569620253,0.032432432432432434,0.06798245614035088,0.019867549668874173,0.0,0.0,0.019736842105263157
gcantem,0.02654867256637168,0.1111111111111111,0.02654867256637168,0.0,0.02631578947368421,0.05333333333333334,0.07017543859649122,0.013799901429275506,0.16176470588235295,0.07692307692307693,0.10460251046025104,0.0,0.03508771929824561,0.16025641025641027,0.026143790849673203,0.0,0.03305785123966942,0.032520325203252036,0.13821138211382114,0.07926829268292683,0.04664723032069971,0.0,0.0,0.13333333333333333,0.05511811023622047,0.07142857142857142,0.8043478260869565,0.03389830508474576,0.7189542483660131,0.0,0.02654867256637168,0.0,0.03731343283582089,0.05982905982905983,0.04794520547945205,0.31671554252199413,0.02654867256637168,0.0,0.0,0.02631578947368421
Semoralesga,0.6,0.2222222222222222,0.6,0.0,0.5,0.06382978723404255,0.0,0.001541623843782117,0.08695652173913043,0.06976744186046512,0.02631578947368421,0.03508771929824561,0.0,0.2236842105263158,0.014705882352941176,0.0,0.12121212121212122,0.11428571428571428,0.2682926829268293,0.05952380952380952,0.018796992481203006,0.0,0.0,0.37142857142857144,0.045454545454545456,0.06818181818181818,0.10273972602739725,0.13333333333333333,0.09375,0.0,0.12,0.0,0.0851063829787234,0.125,0.06557377049180328,0.0463768115942029,0.12,0.0,0.0,0.11538461538461539
jonatan360,0.04411764705882353,0.13333333333333333,0.04411764705882353,0.0,0.043478260869565216,0.10784313725490197,0.04054054054054054,0.013091641490433032,0.18947368421052632,0.11224489795918367,0.095,0.16025641025641027,0.2236842105263158,0.0,0.0234375,0.0,0.03125,0.041237113402061855,0.17525773195876287,0.04861111111111111,0.06050955414012739,0.0,0.0,0.13402061855670103,0.08,0.09,0.10396039603960396,0.03225806451612903,0.09722222222222222,0.0,0.034482758620689655,0.0,0.056074766355140186,0.08888888888888889,0.06722689075630252,0.08461538461538462,0.034482758620689655,0.0,0.0,0.03409090909090909
top4,0.0,0.07017543859649122,0.0,0.0,0.0,0.022988505747126436,0.06,0.0035335689045936395,0.011363636363636364,0.0,0.005154639175257732,0.026143790849673203,0.014705882352941176,0.0234375,0.0,0.0,0.0003456619426201175,0.000691085003455425,0.0006879944960440316,0.0023817625042531474,0.00935785737334624,0.0,0.0,0.0010337698139214334,0.0006894174422612892,0.0017247326664367024,0.013431833445265278,0.0006922810661128419,0.013368983957219251,0.0,0.0,0.0,0.001722356183258698,0.00034578146611341634,0.0013708019191226869,0.02158730158730159,0.0,0.0,0.0,0.0
stevenbustos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.06451612903225806,0.029411764705882353,0.012048192771084338,0.0,0.0,0.07407407407407407,0.08,0.07692307692307693,0.02158273381294964,0.25,0.0196078431372549,0.0,0.2857142857142857,0.0,0.06666666666666667,0.21428571428571427,0.09523809523809523,0.01483679525222552,0.2857142857142857,0.0,0.0,0.25
jufcontrerasco,0.25,0.16,0.25,0.0,0.23076923076923078,0.07547169811320754,0.0,0.003076923076923077,0.07547169811320754,0.08163265306122448,0.025157232704402517,0.03305785123966942,0.12121212121212122,0.03125,0.0003456619426201175,0.2,0.0,0.17391304347826086,0.08108108108108109,0.0547945205479452,0.01968503937007874,0.0,0.0,0.125,0.0625,0.09375,0.027586206896551724,0.2222222222222222,0.025157232704402517,0.0,0.23076923076923078,0.0,0.08333333333333333,0.14285714285714285,0.08163265306122448,0.014534883720930232,0.23076923076923078,0.0,0.0,0.21428571428571427
top1,0.21428571428571427,0.19230769230769232,0.21428571428571427,0.0,0.2,0.07272727272727272,0.0,0.002560163850486431,0.07272727272727272,0.1,0.03773584905660377,0.032520325203252036,0.11428571428571428,0.041237113402061855,0.000691085003455425,0.3333333333333333,0.17391304347826086,0.0,0.07017543859649122,0.031578947368421054,0.01818181818181818,0.0,0.0,0.09615384615384616,0.0784313725490196,0.07692307692307693,0.055900621118012424,0.13157894736842105,0.06358381502890173,0.0,0.08823529411764706,0.0,0.09090909090909091,0.125,0.12121212121212122,0.036414565826330535,0.08823529411764706,0.0,0.0,0.08571428571428572
wolfstain,0.1111111111111111,0.15789473684210525,0.1111111111111111,0.0,0.10714285714285714,0.09090909090909091,0.09090909090909091,0.00254323499491353,0.2,0.23636363636363636,0.07228915662650602,0.13821138211382114,0.2682926829268293,0.17525773195876287,0.0006879944960440316,0.06451612903225806,0.08108108108108109,0.07017543859649122,0.0,0.07291666666666667,0.02888086642599278,0.0,0.0,0.3191489361702128,0.09090909090909091,0.10909090909090909,0.1513157894736842,0.09090909090909091,0.15950920245398773,0.0,0.07692307692307693,0.0,0.06557377049180328,0.13636363636363635,0.09722222222222222,0.07142857142857142,0.07692307692307693,0.0,0.0,0.075
miaborjaac,0.046875,0.125,0.046875,0.0,0.046153846153846156,0.04807692307692308,0.08955223880597014,0.004,0.05825242718446602,0.05,0.03864734299516908,0.07926829268292683,0.05952380952380952,0.04861111111111111,0.0023817625042531474,0.029411764705882353,0.0547945205479452,0.031578947368421054,0.07291666666666667,0.0,0.08709677419354839,0.0,0.0,0.045871559633027525,0.07692307692307693,0.0660377358490566,0.07075471698113207,0.030927835051546393,0.08558558558558559,0.0,0.03296703296703297,0.0,0.035398230088495575,0.0625,0.06504065040650407,0.04656862745098039,0.03296703296703297,0.0,0.0,0.03260869565217391
ivdgonzalezco,0.012195121951219513,0.04365079365079365,0.012195121951219513,0.0,0.016260162601626018,0.021052631578947368,0.02,0.027204502814258912,0.028268551236749116,0.021352313167259787,0.03116883116883117,0.04664723032069971,0.018796992481203006,0.06050955414012739,0.00935785737334624,0.012048192771084338,0.01968503937007874,0.01818181818181818,0.02888086642599278,0.08709677419354839,0.0,0.0,0.0,0.01509433962264151,0.038910505836575876,0.03474903474903475,0.04945054945054945,0.011904761904761904,0.042105263157894736,0.0,0.012195121951219513,0.0,0.018726591760299626,0.028,0.032490974729241874,0.05818181818181818,0.012195121951219513,0.0,0.0,0.012145748987854251
maikellPardo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Christian7sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jsnarvaezb,0.13043478260869565,0.08108108108108109,0.13043478260869565,0.0,0.125,0.0625,0.0,0.00408371618172537,0.2830188679245283,0.12280701754385964,0.08074534161490683,0.13333333333333333,0.37142857142857144,0.13402061855670103,0.0010337698139214334,0.07407407407407407,0.125,0.09615384615384616,0.3191489361702128,0.045871559633027525,0.01509433962264151,0.0,0.0,0.0,0.05714285714285714,0.08695652173913043,0.22727272727272727,0.06896551724137931,0.20118343195266272,0.0,0.05660377358490566,0.0,0.05333333333333334,0.10344827586206896,0.06896551724137931,0.10198300283286119,0.05660377358490566,0.0,0.0,0.05555555555555555
bottom5,0.09090909090909091,0.1875,0.09090909090909091,0.0,0.08695652173913043,0.08196721311475409,0.15384615384615385,0.004601226993865031,0.047619047619047616,0.03333333333333333,0.023809523809523808,0.05511811023622047,0.045454545454545456,0.08,0.0006894174422612892,0.08,0.0625,0.0784313725490196,0.09090909090909091,0.07692307692307693,0.038910505836575876,0.0,0.0,0.05714285714285714,0.0,0.15555555555555556,0.0641025641025641,0.08333333333333333,0.058823529411764705,0.0,0.1,0.0,0.09803921568627451,0.17142857142857143,0.1111111111111111,0.03389830508474576,0.1,0.0,0.0,0.0967741935483871
aldiazve,0.13636363636363635,0.21875,0.13636363636363635,0.0,0.18181818181818182,0.08064516129032258,0.10714285714285714,0.005626598465473146,0.046875,0.10526315789473684,0.02976190476190476,0.07142857142857142,0.06818181818181818,0.09,0.0017247326664367024,0.07692307692307693,0.09375,0.07692307692307693,0.10909090909090909,0.0660377358490566,0.03474903474903475,0.0,0.0,0.08695652173913043,0.15555555555555556,0.0,0.017868538608806637,0.00616860863605209,0.018354430379746836,0.0,0.00205620287868403,0.0,0.004056795131845842,0.002728512960436562,0.006715916722632639,0.03577611079053664,0.00205620287868403,0.0,0.0,0.002054794520547945
diegoaguevarar,0.022058823529411766,0.0851063829787234,0.022058823529411766,0.0,0.021897810218978103,0.046242774566473986,0.0661764705882353,0.016617790811339198,0.12422360248447205,0.06626506024096386,0.12109375,0.8043478260869565,0.10273972602739725,0.10396039603960396,0.013431833445265278,0.02158273381294964,0.027586206896551724,0.055900621118012424,0.1513157894736842,0.07075471698113207,0.04945054945054945,0.0,0.0,0.22727272727272727,0.0641025641025641,0.017868538608806637,0.0,0.028169014084507043,0.7607361963190185,0.0,0.021897810218978103,0.0,0.03164556962025317,0.04225352112676056,0.047337278106508875,0.34375,0.021897810218978103,0.0,0.0,0.021739130434782608
fevargasmo,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.0,0.3,0.08,0.0,0.0035971223021582736,0.08,0.1111111111111111,0.03896103896103896,0.03389830508474576,0.13333333333333333,0.03225806451612903,0.0006922810661128419,0.25,0.2222222222222222,0.13157894736842105,0.09090909090909091,0.030927835051546393,0.011904761904761904,0.0,0.0,0.06896551724137931,0.08333333333333333,0.00616860863605209,0.028169014084507043,0.0,0.10759493670886076,0.0,0.12,0.0,0.10869565217391304,0.09090909090909091,0.08333333333333333,0.061764705882352944,0.12,0.0,0.0,0.11538461538461539
jmhurtadoc,0.02,0.07741935483870968,0.02,0.0,0.019867549668874173,0.0427807486631016,0.06,0.015518913676042677,0.1206896551724138,0.07303370786516854,0.11070110701107011,0.7189542483660131,0.09375,0.09722222222222222,0.013368983957219251,0.0196078431372549,0.025157232704402517,0.06358381502890173,0.15950920245398773,0.08558558558558559,0.042105263157894736,0.0,0.0,0.20118343195266272,0.058823529411764705,0.018354430379746836,0.7607361963190185,0.10759493670886076,0.0,0.0,0.02,0.0,0.03529411764705882,0.03870967741935484,0.03825136612021858,0.32786885245901637,0.02,0.0,0.0,0.019867549668874173
anfmorenoso,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.07317073170731707,0.11538461538461539,0.05454545454545454,0.041176470588235294,0.10526315789473684,0.0,0.0,0.1
nabautistal,1.0,0.17647058823529413,1.0,0.0,0.75,0.06666666666666667,0.0,0.0015432098765432098,0.06666666666666667,0.07317073170731707,0.019867549668874173,0.02654867256637168,0.12,0.034482758620689655,0.0,0.2857142857142857,0.23076923076923078,0.08823529411764706,0.07692307692307693,0.03296703296703297,0.012195121951219513,0.0,0.0,0.05660377358490566,0.1,0.00205620287868403,0.021897810218978103,0.12,0.02,0.10526315789473684,0.0,0.0,0.11538461538461539,0.2727272727272727,0.075,0.008928571428571428,1.0,0.0,0.0,0.75
crigar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
jiapulidoar,0.11538461538461539,0.10256410256410256,0.11538461538461539,0.0,0.1111111111111111,0.07575757575757576,0.029411764705882353,0.004077471967380225,0.05970149253731343,0.06349206349206349,0.023121387283236993,0.03731343283582089,0.0851063829787234,0.056074766355140186,0.001722356183258698,0.06666666666666667,0.08333333333333333,0.09090909090909091,0.06557377049180328,0.035398230088495575,0.018726591760299626,0.0,0.0,0.05333333333333334,0.09803921568627451,0.004056795131845842,0.03164556962025317,0.10869565217391304,0.03529411764705882,0.07317073170731707,0.11538461538461539,0.0,0.0,0.012448132780082987,0.018656716417910446,0.04212454212454213,0.012875536480686695,0.0,0.0,0.01282051282051282
jsviveroj,0.2727272727272727,0.4,0.2727272727272727,0.0,0.25,0.12,0.17647058823529413,0.0015368852459016393,0.09803921568627451,0.061224489795918366,0.02531645569620253,0.05982905982905983,0.125,0.08888888888888889,0.00034578146611341634,0.21428571428571427,0.14285714285714285,0.125,0.13636363636363635,0.0625,0.028,0.0,0.0,0.10344827586206896,0.17142857142857143,0.002728512960436562,0.04225352112676056,0.09090909090909091,0.03870967741935484,0.11538461538461539,0.2727272727272727,0.0,0.012448132780082987,0.0,0.1267605633802817,0.07428571428571429,0.075,0.0,0.0,0.07317073170731707
top3,0.075,0.16326530612244897,0.075,0.0,0.07317073170731707,0.1038961038961039,0.06521739130434782,0.006085192697768763,0.0759493670886076,0.05194805194805195,0.032432432432432434,0.04794520547945205,0.06557377049180328,0.06722689075630252,0.0013708019191226869,0.09523809523809523,0.08163265306122448,0.12121212121212122,0.09722222222222222,0.06504065040650407,0.032490974729241874,0.0,0.0,0.06896551724137931,0.1111111111111111,0.006715916722632639,0.047337278106508875,0.08333333333333333,0.03825136612021858,0.05454545454545454,0.075,0.0,0.018656716417910446,0.1267605633802817,0.0,0.0748792270531401,0.027522935779816515,0.0,0.0,0.02727272727272727
jcrubioa,0.008928571428571428,0.04129793510324484,0.008928571428571428,0.0,0.008902077151335312,0.024193548387096774,0.026785714285714284,0.034013605442176874,0.06424581005586592,0.030054644808743168,0.06798245614035088,0.31671554252199413,0.0463768115942029,0.08461538461538462,0.02158730158730159,0.01483679525222552,0.014534883720930232,0.036414565826330535,0.07142857142857142,0.04656862745098039,0.05818181818181818,0.0,0.0,0.10198300283286119,0.03389830508474576,0.03577611079053664,0.34375,0.061764705882352944,0.32786885245901637,0.041176470588235294,0.008928571428571428,0.0,0.04212454212454213,0.07428571428571429,0.0748792270531401,0.0,0.008695652173913044,0.0,0.0,0.008670520231213872
joahernandezca,1.0,0.17647058823529413,1.0,0.0,0.75,0.06666666666666667,0.0,0.0015432098765432098,0.06666666666666667,0.07317073170731707,0.019867549668874173,0.02654867256637168,0.12,0.034482758620689655,0.0,0.2857142857142857,0.23076923076923078,0.08823529411764706,0.07692307692307693,0.03296703296703297,0.012195121951219513,0.0,0.0,0.05660377358490566,0.1,0.00205620287868403,0.021897810218978103,0.12,0.02,0.10526315789473684,1.0,0.0,0.012875536480686695,0.075,0.027522935779816515,0.008695652173913044,0.0,0.0,0.0,0.024193548387096774
bottom2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bottom3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JairVillalba,0.75,0.16666666666666666,0.75,0.0,0.6,0.06521739130434782,0.0,0.0015424164524421595,0.06521739130434782,0.07142857142857142,0.019736842105263157,0.02631578947368421,0.11538461538461539,0.03409090909090909,0.0,0.25,0.21428571428571427,0.08571428571428572,0.075,0.03260869565217391,0.012145748987854251,0.0,0.0,0.05555555555555555,0.0967741935483871,0.002054794520547945,0.021739130434782608,0.11538461538461539,0.019867549668874173,0.1,0.75,0.0,0.01282051282051282,0.07317073170731707,0.02727272727272727,0.008670520231213872,0.024193548387096774,0.0,0.0,0.0
