,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,improve-effort-12,improve-effort-23,improve-effort-34,improve-effort-45,improve-effort-15,improve-effort-25,functions,unique,len_unique,len_functions
261,Davsatu313,2.0,80.0,70.83,84.38,322.71,87.5,87.5,80.0,62.5,70.83,300.83,87.5,100.0,58.33,75.0,320.83,87.5,20.0,54.17,75.0,236.67,62.5,20.0,50.0,75.0,207.5,0.0,80.0,-20.0,0.0,60.0,60.0,4.170000000000002,4.159999999999997,4.170000000000002,8.329999999999998,20.83,16.659999999999997,0.0,0.0,-4.170000000000002,13.549999999999997,9.379999999999995,9.379999999999995,25.0,0.0,0.0,0.0,0.0,25.0,29.169999999999987,84.16,-20.0,21.879999999999995,115.20999999999998,86.03999999999999,60.0,20.83,9.379999999999995,25.0,0.0,0.0,1.0,4.0,31.0,2.0,2.0,15.0,2.0,1.0,11.0,1.0,1.0,0.0,1.0,7.0,7.0,3.0,4.0,0.0,-5.5,-4.5,1.0,-11.5,3.5,"['bootstrap.min.css', 'awesome.min.css', 'theme.min.css', 'jquery.min.js', 'bootstrap.min.js', 'style.css', '.js', 'js.org', '.v', '.min.js', 'RadarChart.js', 'google.maps.MarkerImage', 'location.svg', 'google.maps.Size', 'google.maps.LatLng', 'google.maps.MapTypeId.ROADMAP', 'google.maps.Map', 'document.getElementById', 'google.maps.Marker', 'google.maps.event.addListener', 'google.maps.event.addDomListener', 'map.setZoom', 'map.setCenter', 'marker.getPosition', 'google.maps.InfoWindow', 'infowindow.open', 'estilos.css']","['bootstrap.min.css' 'awesome.min.css' 'theme.min.css' 'jquery.min.js'
 'bootstrap.min.js' 'style.css' '.js' 'js.org' '.v' '.min.js'
 'RadarChart.js' 'google.maps.MarkerImage' 'location.svg'
 'google.maps.Size' 'google.maps.LatLng' 'google.maps.MapTypeId.ROADMAP'
 'google.maps.Map' 'document.getElementById' 'google.maps.Marker'
 'google.maps.event.addListener' 'google.maps.event.addDomListener'
 'map.setZoom' 'map.setCenter' 'marker.getPosition'
 'google.maps.InfoWindow' 'infowindow.open' 'estilos.css']",27.0,27.0
262,cesarochoa2006,2.0,100.0,66.67,72.5,326.67,87.5,87.5,60.0,58.33,78.13,283.96,87.5,60.0,41.67,87.5,276.67,62.5,60.0,45.83,87.5,255.83,37.5,20.0,29.17,0.0,86.67,40.0,0.0,0.0,40.0,80.0,40.0,16.659999999999997,-4.159999999999997,16.659999999999997,8.340000000000003,37.5,20.840000000000003,87.5,0.0,-9.370000000000005,-5.6299999999999955,72.5,-15.0,25.0,25.0,0.0,0.0,25.0,50.0,169.16000000000003,20.840000000000003,7.289999999999964,42.710000000000036,240.0,70.84,80.0,37.5,72.5,50.0,0.0,0.0,0.0,19.0,54.0,2.0,1.0,2.0,1.0,20.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-7.0,0.0,-8.0,0.0,"['google.maps.DirectionsRenderer', 'document.getElementById', 'google.maps.Map', 'google.maps.Marker', 'google.maps.InfoWindow', 'data.cityofchicago.org', 'rows.json', 'xmlhttp.open', 'xmlhttp.send', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'xmlhttp.status', 'xmlhttp.responseText', 'JSON.parse', 'washedData.length', 'json.data', 'rentalData.push', 'washedData.push', 'google.maps.event.addListener', 'google.maps.ElevationService', '.each', 'value.setMap', 'map.getBounds', 'boundBox.getSouthWest', 'boundBox.getNorthEast', 'northEast.lng', 'southWest.lng', 'northEast.lat', 'southWest.lat', 'google.maps.LatLng', 'locations.push', 'elevator.getElevationForLocations', 'google.maps.ElevationStatus.OK', 'infowindow.close', 'infowindow.setContent', 'infowindow.open', '.routeButton', '.fadeIn', '.on', 'directionsDisplay.setMap', 'google.maps.TravelMode.DRIVING', 'google.maps.DirectionsService', 'directionsService.route', 'google.maps.DirectionsStatus.OK', 'directionsDisplay.setDirections', 'Math.PI', 'Math.sin', 'Math.cos', 'Math.atan', 'Math.sqrt', '.main', '.hide', '.optionsButton', '.slideToggle', '.o', '.toggleClass', '.goButton', '.descriptionContainer', '.ready', 'main.css', '.min.js', 'js.org', '.v', 'main.js']","['google.maps.DirectionsRenderer' 'document.getElementById'
 'google.maps.Map' 'google.maps.Marker' 'google.maps.InfoWindow'
 'data.cityofchicago.org' 'rows.json' 'xmlhttp.open' 'xmlhttp.send'
 'xmlhttp.onreadystatechange' 'xmlhttp.readyState' 'xmlhttp.status'
 'xmlhttp.responseText' 'JSON.parse' 'washedData.length' 'json.data'
 'rentalData.push' 'washedData.push' 'google.maps.event.addListener'
 'google.maps.ElevationService' '.each' 'value.setMap' 'map.getBounds'
 'boundBox.getSouthWest' 'boundBox.getNorthEast' 'northEast.lng'
 'southWest.lng' 'northEast.lat' 'southWest.lat' 'google.maps.LatLng'
 'locations.push' 'elevator.getElevationForLocations'
 'google.maps.ElevationStatus.OK' 'infowindow.close'
 'infowindow.setContent' 'infowindow.open' '.routeButton' '.fadeIn' '.on'
 'directionsDisplay.setMap' 'google.maps.TravelMode.DRIVING'
 'google.maps.DirectionsService' 'directionsService.route'
 'google.maps.DirectionsStatus.OK' 'directionsDisplay.setDirections'
 'Math.PI' 'Math.sin' 'Math.cos' 'Math.atan' 'Math.sqrt' '.main' '.hide'
 '.optionsButton' '.slideToggle' '.o' '.toggleClass' '.goButton'
 '.descriptionContainer' '.ready' 'main.css' '.min.js' 'js.org' '.v'
 'main.js']",64.0,64.0
263,jjmuesesq,2.0,20.0,25.0,0.0,120.0,75.0,62.5,20.0,25.0,0.0,107.5,50.0,0.0,29.17,0.0,79.17,50.0,20.0,29.17,87.5,186.67,37.5,20.0,25.0,0.0,82.5,0.0,-20.0,20.0,0.0,0.0,0.0,4.170000000000002,0.0,-4.170000000000002,0.0,0.0,-4.170000000000002,87.5,-87.5,0.0,0.0,0.0,-87.5,12.5,0.0,12.5,12.5,25.0,37.5,104.16999999999999,-107.49999999999999,28.33,12.5,37.5,-66.66999999999999,0.0,0.0,0.0,37.5,0.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['document.getElementById', 'google.maps.Map', 'google.maps.Marker']",['document.getElementById' 'google.maps.Map' 'google.maps.Marker'],3.0,3.0
264,jucjimenezmo,2.0,0.0,25.0,62.5,187.5,100.0,75.0,20.0,33.33,75.0,203.33,47.0,20.0,33.33,0.0,100.33,50.0,20.0,29.17,0.0,99.17,12.5,0.0,0.0,0.0,12.5,20.0,0.0,0.0,-20.0,0.0,-20.0,29.17,4.159999999999997,0.0,-8.329999999999998,25.0,-4.170000000000002,0.0,0.0,75.0,-12.5,62.5,62.5,37.5,-3.0,28.0,25.0,50.0,87.5,86.67,1.1599999999999966,103.00000000000001,-15.830000000000013,175.0,88.33,0.0,25.0,62.5,87.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['home.css', 'search.css', 'favicon.jpg', 'logo.jpg', 'university.jpg', 'page.php', 'google.maps.Map', 'document.getElementById', 'google.maps.Marker']","['home.css' 'search.css' 'favicon.jpg' 'logo.jpg' 'university.jpg'
 'page.php' 'google.maps.Map' 'document.getElementById'
 'google.maps.Marker']",9.0,9.0
265,kancas,2.0,20.0,25.0,62.5,182.5,75.0,62.5,40.0,29.17,75.0,206.67,62.5,60.0,33.33,75.0,230.83,62.5,60.0,33.33,87.5,243.33,37.5,20.0,29.17,0.0,37.5,40.0,0.0,-20.0,-20.0,0.0,-40.0,4.159999999999997,0.0,-4.159999999999997,-4.170000000000002,-4.170000000000002,-8.329999999999998,87.5,-12.5,0.0,-12.5,62.5,-25.0,25.0,0.0,0.0,12.5,12.5,37.5,205.83,-12.5,-24.160000000000025,-24.169999999999987,145.0,-60.83000000000001,0.0,-4.170000000000002,62.5,37.5,14.0,15.0,2.0,14.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.5,0.0,0.0,0.0,6.5,0.0,"['style.css', 'bootstrap.min.css', 'theme.min.css', 'jquery.min.js', 'bootstrap.min.js', '.js', '.min.js', 'main.js', 'graph.js', 'margin.left', 'margin.rigt', 'margin.top', 'margin.bottom', '.scaleBand', '.range', '.scaleLinear', '.select', '.append', '.attr', 'x.domain', 'y.domain', 'document.getElementById', 'google.maps.Map', 'data.cityofchicago.org', 'rows.json', 'xmlhttp.open', 'xmlhttp.send', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'xmlhttp.status', 'xmlhttp.responseText', 'JSON.parse', 'json.data', 'google.maps.LatLng', 'data.push', 'alldata.push', 'alldata.length', 'google.maps.Marker', '.each', 'google.maps.event.addListener', '.innerHTML', 'barGraph.draw']","['style.css' 'bootstrap.min.css' 'theme.min.css' 'jquery.min.js'
 'bootstrap.min.js' '.js' '.min.js' 'main.js' 'graph.js' 'margin.left'
 'margin.rigt' 'margin.top' 'margin.bottom' '.scaleBand' '.range'
 '.scaleLinear' '.select' '.append' '.attr' 'x.domain' 'y.domain'
 'document.getElementById' 'google.maps.Map' 'data.cityofchicago.org'
 'rows.json' 'xmlhttp.open' 'xmlhttp.send' 'xmlhttp.onreadystatechange'
 'xmlhttp.readyState' 'xmlhttp.status' 'xmlhttp.responseText' 'JSON.parse'
 'json.data' 'google.maps.LatLng' 'data.push' 'alldata.push'
 'alldata.length' 'google.maps.Marker' '.each'
 'google.maps.event.addListener' '.innerHTML' 'barGraph.draw']",42.0,42.0
266,Gantiva,2.0,100.0,70.83,100.0,345.83,75.0,62.5,100.0,75.0,0.0,237.5,62.5,100.0,66.67,0.0,229.17,75.0,0.0,33.33,25.0,133.33,50.0,20.0,45.83,0.0,115.83,-20.0,100.0,0.0,0.0,80.0,100.0,-12.5,33.34,8.329999999999998,-4.170000000000002,25.0,37.5,25.0,-25.0,0.0,100.0,100.0,75.0,25.0,-12.5,0.0,12.5,0.0,25.0,17.500000000000014,95.83999999999997,8.330000000000013,108.32999999999998,230.0,212.49999999999997,80.0,25.0,100.0,25.0,3.0,5.0,1.0,22.0,105.0,3.0,9.0,17.0,2.0,22.0,86.0,2.0,0.0,0.0,0.0,5.0,57.0,2.0,34.0,0.5,0.5,-21.0,0.0,-30.5,-23.5,"['latest.min.js', 'jquery.min.js', 'clear.js', 'food.js', 'rents.js', 'crimes.js', 'station.js', 'js.org', '.v', '.min.js', 'google.maps.Map', 'document.getElementById', 'google.maps.Marker', 'map.getCenter', 'google.maps.InfoWindow', 'google.maps.event.addListener', '.open', 'unal.edu.co', 'openweathermap.org', '.ajax', 'data.cityofchicago.org', 'iimk.json', '.done', 'console.log', 'data.length', '.latitude', '.longitude', '.status', 'google.maps.LatLng', 'marker.setMap', 'wj.json', 'x.json', '.results', '.id', '.description', 'xi.json', '.year']","['latest.min.js' 'jquery.min.js' 'clear.js' 'food.js' 'rents.js'
 'crimes.js' 'station.js' 'js.org' '.v' '.min.js' 'google.maps.Map'
 'document.getElementById' 'google.maps.Marker' 'map.getCenter'
 'google.maps.InfoWindow' 'google.maps.event.addListener' '.open'
 'unal.edu.co' 'openweathermap.org' '.ajax' 'data.cityofchicago.org'
 'iimk.json' '.done' 'console.log' 'data.length' '.latitude' '.longitude'
 '.status' 'google.maps.LatLng' 'marker.setMap' 'wj.json' 'x.json'
 '.results' '.id' '.description' 'xi.json' '.year']",37.0,37.0
267,Dandarprox,2.0,80.0,58.33,37.5,275.83,100.0,75.0,80.0,58.33,0.0,213.33,62.5,40.0,33.33,0.0,135.83,62.5,40.0,33.33,0.0,135.83,12.5,20.0,29.17,43.75,105.42,20.0,0.0,40.0,0.0,60.0,40.0,4.159999999999997,0.0,25.0,0.0,29.159999999999997,25.0,-43.75,0.0,0.0,37.5,-6.25,37.5,50.0,0.0,12.5,25.0,37.5,87.5,30.41000000000001,0.0,77.5,62.49999999999997,170.40999999999997,139.99999999999997,60.0,29.159999999999997,-6.25,87.5,0.0,0.0,0.0,11.0,16.0,1.0,0.0,0.0,0.0,11.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,0.0,"['.css', '.js', 'js.org', '.v', 'bootstrap.min.css', 'theme.min.css', 'bootstrap.min.js', 'document.getElementById', 'google.maps.Map', 'google.maps.Size', 'google.maps.Marker', 'google.maps.InfoWindow', 'infowindowP.open', 'marker.get', 'marker.addListener', 'map.setCenter', 'google.maps.LatLng', '.ajax', 'data.cityofchicago.org', 'iimk.json', '.done', 'data.length', '.latitude', '.longitude', '.property', '.distance', '.data', 'marker.data.property', 'infowindow.close', 'infowindow.open', '.innerHTML', 'marker.distance.toFixed', 'marker.data.address', 'marker.data.management', 'marker.data.phone', 'xi.json', '.count', 'selected.setAttribute', 'item.setAttribute', 'item.marker', 'item.marker.data.latitude', 'item.marker.data.longitude', 'item.marker.data.property', 'item.marker.get', 'marker.item', 'marker.item.setAttribute', 'marker.data.latitude', 'marker.data.longitude', '.scrollTop', 'item.scroll', 'markers.sort', 'b.distance', 'a.distance', 'markers.length', '.item', 'document.createElement', 'listItem.setAttribute', 'listItem.innerHTML', '.data.property', '.distance.toFixed', 'listItem.marker', '.append', 'listItem.scroll']","['.css' '.js' 'js.org' '.v' 'bootstrap.min.css' 'theme.min.css'
 'bootstrap.min.js' 'document.getElementById' 'google.maps.Map'
 'google.maps.Size' 'google.maps.Marker' 'google.maps.InfoWindow'
 'infowindowP.open' 'marker.get' 'marker.addListener' 'map.setCenter'
 'google.maps.LatLng' '.ajax' 'data.cityofchicago.org' 'iimk.json' '.done'
 'data.length' '.latitude' '.longitude' '.property' '.distance' '.data'
 'marker.data.property' 'infowindow.close' 'infowindow.open' '.innerHTML'
 'marker.distance.toFixed' 'marker.data.address' 'marker.data.management'
 'marker.data.phone' 'xi.json' '.count' 'selected.setAttribute'
 'item.setAttribute' 'item.marker' 'item.marker.data.latitude'
 'item.marker.data.longitude' 'item.marker.data.property'
 'item.marker.get' 'marker.item' 'marker.item.setAttribute'
 'marker.data.latitude' 'marker.data.longitude' '.scrollTop' 'item.scroll'
 'markers.sort' 'b.distance' 'a.distance' 'markers.length' '.item'
 'document.createElement' 'listItem.setAttribute' 'listItem.innerHTML'
 '.data.property' '.distance.toFixed' 'listItem.marker' '.append'
 'listItem.scroll']",63.0,63.0
268,debeltranc,2.0,0.0,25.0,25.0,125.0,75.0,50.0,0.0,25.0,25.0,100.0,50.0,0.0,25.0,25.0,100.0,50.0,0.0,25.0,0.0,75.0,75.0,0.0,25.0,62.5,162.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.5,25.0,0.0,0.0,-37.5,25.0,-25.0,0.0,0.0,25.0,25.0,0.0,-87.5,25.0,0.0,25.0,-37.5,50.0,0.0,0.0,-37.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,17.0,2.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,23.0,0.0,8.5,0.0,2.0,0.0,0.0,"['runner.github.io', 'module.exports', 'config.set', 'test.ts', 'config.angularCli', 'config.angularCli.codeCoverage', 'config.LOG', 'config.ts', 'exports.config', '.e', 'spec.ts', '.register', 'tsconfig.e', 'e.json', 'jasmine.getEnv', '.addReporter', 'favicon.ico', 'fxShow.gt', 'fxHide.gt']","['runner.github.io' 'module.exports' 'config.set' 'test.ts'
 'config.angularCli' 'config.angularCli.codeCoverage' 'config.LOG'
 'config.ts' 'exports.config' '.e' 'spec.ts' '.register' 'tsconfig.e'
 'e.json' 'jasmine.getEnv' '.addReporter' 'favicon.ico' 'fxShow.gt'
 'fxHide.gt']",19.0,19.0
269,ykchautai,2.0,20.0,41.67,75.0,211.67,75.0,75.0,20.0,41.67,62.5,199.17,75.0,20.0,37.5,62.5,195.0,62.5,20.0,37.5,0.0,120.0,50.0,20.0,29.17,62.5,161.67,0.0,0.0,0.0,0.0,0.0,0.0,8.329999999999998,0.0,4.170000000000002,0.0,12.5,4.170000000000002,-62.5,62.5,0.0,12.5,12.5,75.0,12.5,12.5,0.0,0.0,12.5,25.0,-41.66999999999999,75.0,4.1699999999999875,12.5,50.0,91.66999999999999,0.0,12.5,12.5,25.0,13.0,61.0,2.0,25.0,196.0,4.0,6.0,52.0,2.0,2.0,29.0,3.0,16.0,66.0,2.0,17.0,140.0,3.0,37.0,-17.5,-20.0,-12.5,-17.0,-73.0,-53.0,"['tiry.cloudfront.net', 'foundation.min.css', 'style.css', 'jquery.min.js', 'bootstrap.min.js', 'document.getElementById', 'google.maps.Map', 'google.maps.Marker', 'js.org', '.v', '.min.js', 'police.jpg', 'data.cityofchicago.org', 'foundation.js', '.foundation']","['tiry.cloudfront.net' 'foundation.min.css' 'style.css' 'jquery.min.js'
 'bootstrap.min.js' 'document.getElementById' 'google.maps.Map'
 'google.maps.Marker' 'js.org' '.v' '.min.js' 'police.jpg'
 'data.cityofchicago.org' 'foundation.js' '.foundation']",15.0,15.0
270,ligibrial,2.0,0.0,33.33,25.0,145.83,87.5,62.5,0.0,33.33,12.5,108.33,62.5,0.0,33.33,25.0,120.83,50.0,0.0,33.33,25.0,108.33,37.5,0.0,33.33,62.5,133.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5,0.0,-12.5,12.5,-37.5,0.0,12.5,12.5,0.0,25.0,37.5,50.0,-25.000000000000014,12.5,-12.5,37.500000000000014,12.5,37.500000000000014,0.0,0.0,-37.5,50.0,5.0,10.0,4.0,1.0,10.0,6.0,21.0,9.0,1.0,8.0,14.0,2.0,2.0,4.0,6.0,2.0,9.0,6.0,36.0,0.0,16.5,1.0,0.0,-4.0,-2.5,"['funciones.js', 'jquery.min.js', 'bootstrap.min.js', 'estilos.css', '.js', '.select', '.append', '.text', 'document.getElementById', '.click', 'google.maps.Map', 'google.maps.Marker', 'document.getElementsByClassName', 'tabcontent.length', '.style.display', 'tablinks.length', '.className', '.className.replace', 'evt.currentTarget.className']","['funciones.js' 'jquery.min.js' 'bootstrap.min.js' 'estilos.css' '.js'
 '.select' '.append' '.text' 'document.getElementById' '.click'
 'google.maps.Map' 'google.maps.Marker' 'document.getElementsByClassName'
 'tabcontent.length' '.style.display' 'tablinks.length' '.className'
 '.className.replace' 'evt.currentTarget.className']",19.0,19.0
271,davidrh195,2.0,20.0,25.0,0.0,95.0,50.0,62.5,20.0,25.0,0.0,107.5,62.5,20.0,25.0,0.0,107.5,75.0,20.0,25.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-12.5,0.0,-12.5,-25.0,50.0,120.0,-12.5,0.0,-12.5,95.0,-25.0,20.0,25.0,0.0,50.0,6.0,9.0,1.0,146.0,275.0,3.0,0.0,0.0,0.0,28.0,44.0,2.0,0.0,0.0,0.0,2.0,26.0,2.0,34.0,1.5,0.0,6.0,0.0,8.5,-11.0,"['navicon.jpg', 'style.css', 'document.getElementById', 'google.maps.Map', 'google.maps.Marker', 'coins.jpg', 'bus.jpg', 'whather.jpg', 'radio.jpg', 'identify.jpg', 'jquery.js', 'latest.js', 'menu.js', '.ready', '.menu', '.click', '.animate']","['navicon.jpg' 'style.css' 'document.getElementById' 'google.maps.Map'
 'google.maps.Marker' 'coins.jpg' 'bus.jpg' 'whather.jpg' 'radio.jpg'
 'identify.jpg' 'jquery.js' 'latest.js' 'menu.js' '.ready' '.menu'
 '.click' '.animate']",17.0,17.0
272,JulianaNino,2.0,20.0,41.67,75.0,224.17,87.5,75.0,20.0,29.17,0.0,124.17,75.0,20.0,29.17,0.0,124.17,62.5,0.0,29.17,0.0,91.67,25.0,0.0,29.17,0.0,54.17,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,75.0,75.0,75.0,37.5,12.5,0.0,12.5,25.0,62.5,37.5,32.5,0.0,99.99999999999999,170.0,132.5,20.0,12.5,75.0,62.5,3.0,31.0,2.0,4.0,55.0,3.0,12.0,35.0,1.0,50.0,86.0,1.0,1.0,1.0,2.0,63.0,122.0,3.0,66.0,-12.5,-5.5,7.0,0.5,-23.5,2.0,"['google.maps.Map', 'document.getElementById', 'google.maps.LatLng', 'document.createElement', 'week.geojsonp', 'script.src', 'GeoJSONP.js', 'document.getElementsByTagName', '.appendChild', 'window.eqfeed', 'results.features.length', 'results.features', '.geometry.coordinates', 'google.maps.Marker', 'bootstrap.min.css', 'item.css', 'Respond.js', 'shiv.js', 'respond.js', 'respond.min.js', '.navbar', '.container', 'placehold.it', 'jquery.js', 'bootstrap.min.js']","['google.maps.Map' 'document.getElementById' 'google.maps.LatLng'
 'document.createElement' 'week.geojsonp' 'script.src' 'GeoJSONP.js'
 'document.getElementsByTagName' '.appendChild' 'window.eqfeed'
 'results.features.length' 'results.features' '.geometry.coordinates'
 'google.maps.Marker' 'bootstrap.min.css' 'item.css' 'Respond.js'
 'shiv.js' 'respond.js' 'respond.min.js' '.navbar' '.container'
 'placehold.it' 'jquery.js' 'bootstrap.min.js']",25.0,25.0
273,luegilca,2.0,0.0,37.5,0.0,100.0,62.5,62.5,0.0,29.17,25.0,116.67,62.5,0.0,33.33,25.0,120.83,62.5,0.0,25.0,25.0,112.5,37.5,0.0,29.17,62.5,129.17,0.0,0.0,0.0,0.0,0.0,0.0,-4.170000000000002,8.329999999999998,-4.159999999999997,8.329999999999998,8.329999999999998,12.5,-37.5,0.0,0.0,-25.0,-62.5,-25.0,25.0,0.0,0.0,0.0,0.0,25.0,-16.669999999999987,8.329999999999998,-4.159999999999997,-16.67,-29.169999999999987,-12.5,0.0,8.329999999999998,-62.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['bootstrap.min.css', '.js', 'js.org', '.v', '.min.js', 'jquery.min.js', 'bootstrap.min.js', 'main.js', 'data.js', 'document.getElementById', 'google.maps.Map', 'google.maps.Marker', 'data.cityofchicago.org', '.json', 'xmlhttp.open', 'xmlhttp.send', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'xmlhttp.status', 'xmlhttp.responseText', 'JSON.parse', 'transition.js', 'alert.js', 'button.js', 'carousel.js', 'collapse.js', 'dropdown.js', 'modal.js', 'tooltip.js', 'popover.js', 'scrollspy.js', 'tab.js', 'affix.js']","['bootstrap.min.css' '.js' 'js.org' '.v' '.min.js' 'jquery.min.js'
 'bootstrap.min.js' 'main.js' 'data.js' 'document.getElementById'
 'google.maps.Map' 'google.maps.Marker' 'data.cityofchicago.org' '.json'
 'xmlhttp.open' 'xmlhttp.send' 'xmlhttp.onreadystatechange'
 'xmlhttp.readyState' 'xmlhttp.status' 'xmlhttp.responseText' 'JSON.parse'
 'transition.js' 'alert.js' 'button.js' 'carousel.js' 'collapse.js'
 'dropdown.js' 'modal.js' 'tooltip.js' 'popover.js' 'scrollspy.js'
 'tab.js' 'affix.js']",33.0,33.0
274,Yelis3,2.0,80.0,66.67,62.5,309.17,100.0,87.5,80.0,66.67,0.0,234.17,87.5,60.0,45.83,75.0,268.33,87.5,20.0,41.67,62.5,211.67,87.5,40.0,41.67,62.5,231.67,-20.0,40.0,20.0,0.0,40.0,60.0,0.0,4.159999999999997,20.840000000000003,0.0,25.0,25.0,0.0,12.5,-75.0,62.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,-20.0,56.66,-34.16,75.00000000000003,77.50000000000003,97.50000000000003,40.0,25.0,0.0,12.5,0.0,0.0,4.0,6.0,23.0,9.0,56.0,127.0,2.0,32.0,59.0,4.0,110.0,167.0,7.0,81.0,236.0,8.0,198.0,0.0,-7.5,2.5,26.5,-5.5,-37.0,"['semantic.min.css', 'styles.css', '.min.js', 'bootstrap.min.js', 'jquery.min.js', 'semantic.min.js', 'vue.js', 'map.js', 'script.js', 'data.js', '.on', '.ui.sticky', '.sticky', '.menu', '.right.menu', '.item', '.ui', '.removeClass', '.addClass', 'data.cityofchicago.org', 'rows.json', 'xmlhttp.open', 'xmlhttp.send', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'xmlhttp.status', 'xmlhttp.responseText', 'JSON.parse', 'json.data', 'washedData.push', 'console.log', 'washedData.length', 'place.jpg', 'data.name', 'data.address', 'data.phone', 'data.area', 'google.maps.Map', 'document.getElementById']","['semantic.min.css' 'styles.css' '.min.js' 'bootstrap.min.js'
 'jquery.min.js' 'semantic.min.js' 'vue.js' 'map.js' 'script.js' 'data.js'
 '.on' '.ui.sticky' '.sticky' '.menu' '.right.menu' '.item' '.ui'
 '.removeClass' '.addClass' 'data.cityofchicago.org' 'rows.json'
 'xmlhttp.open' 'xmlhttp.send' 'xmlhttp.onreadystatechange'
 'xmlhttp.readyState' 'xmlhttp.status' 'xmlhttp.responseText' 'JSON.parse'
 'json.data' 'washedData.push' 'console.log' 'washedData.length'
 'place.jpg' 'data.name' 'data.address' 'data.phone' 'data.area'
 'google.maps.Map' 'document.getElementById']",39.0,39.0
